SL. No.,Heads of Crime,Incidence - 1976,Volume - 1976,Incidence - 1981,Volume - 1981,Incidence - 1982,Volume - 1982,Incidence - 1983,Volume - 1983,Incidence - 1984,Volume - 1984,Incidence - 1985,Volume - 1985,Quinquennial Average 1981-1985 (Q.A.),Incidence - 1986,Volume - 1986,"Percentage Change in 1986 (+) Increase, (-) Decrease - Over - 1976","Percentage Change in 1986 (+) Increase, (-) Decrease - Over - Quinquennial Average","Percentage Change in 1986 (+) Increase, (-) Decrease - Over - 1985"
1,Total Cognizable Crimes,1093897,178.4,1385757,200.8,1353904,192,1349866,187.4,1358660,184.7,1384731,184.4,1366584,1405835,183.5,28.5,2.9,1.5
2,Murder,16673,2.7,22727,3.3,23339,3.3,25112,3.5,25786,3.5,25970,3.5,24587,27269,3.6,63.6,10.9,5
3,C.H. Not Amounting to Murder,2584,0.4,3272,0.5,3427,0.5,3793,0.5,4093,0.6,3995,0.5,3716,4195,0.5,62.3,12.9,5
4,Rape,3893,0.6,5409,0.8,5427,0.8,6019,0.8,6740,0.9,7289,1,6177,7952,1,104.3,28.7,9.1
5,Kidnapping & Abduction,11250,1.8,13833,2,13341,1.9,13842,1.9,15141,2.1,16051,2.1,14442,15667,2,39.3,8.5,-2.4
6,Dacoity,10910,1.8,14626,2.1,12700,1.8,12382,1.7,12301,1.7,11254,1.5,12653,10444,1.4,-4.3,-17.5,-7.2
7,Robbery,17974,2.9,22996,3.3,21938,3.1,21310,3,23204,3.2,22501,3,22390,22395,2.9,24.6,0,-0.5
8,Burglary,168655,27.5,157540,22.8,142726,20.2,139103,19.3,136272,18.5,130354,17.4,141199,128946,16.8,-23.5,-8.7,-1.1
9,Theft,365138,59.5,422059,61.2,375240,53.2,353536,49.1,330669,45,330554,44,362412,323533,42.2,-11.4,-10.7,-2.1
10,Riot,63675,10.4,110361,16,106511,15.1,108101,15,101460,13.8,99757,13.3,105238,94197,12.3,47.9,-10.5,-5.6
11,Criminal Breach of Trust,23656,3.9,20579,3,18259,2.6,18514,2.6,18428,2.5,18417,2.5,18839,19021,2.5,-19.6,1,3.3
12,Cheating,19588,3.2,17767,2.6,17471,2.5,19767,2.7,19077,2.6,21016,2.8,19020,22579,2.9,15.3,18.7,7.4
13,Counterfeiting,887,0.1,1004,0.1,939,0.1,809,0.1,1118,0.2,1504,0.2,1075,1687,0.2,90.2,56.9,12.2
14,Other IPC Offences,389014,63.4,573584,83.1,612586,86.9,627578,87.1,664371,90.3,696069,92.7,634837,727950,95,87.1,14.7,-4.6
