Crime Head,2006,2007,2008,2009,2010,2011,2012,2013
murder,1.7,1.6,1.6,1.5,1.5,1.5,1.4,1.3
attempt_to_commit_murder,1.4,1.4,1.4,1.4,1.3,1.3,1.5,1.3
c.h._not_amounting_murder,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1
rape,1,1,1,1,1,1,1,1.3
custodial_rape,0,0,0,0,0,0,0,0
other_rape,1,1,1,1,1,1,1,1.3
kidnapping_&_abduction,1.3,1.4,1.4,1.6,1.7,1.9,2,2.5
of_women_&_girls,0.9,1,1.1,1.2,1.3,1.5,1.6,2
of_others,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.5
dacoity,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2
preparation_&_assembly_for_dacoity,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1
robbery,1,1,1,1.1,1.1,1.1,1.1,1.2
burglary,4.9,4.6,4.5,4.3,4.1,4,3.9,3.9
theft,14.6,14.3,15.1,15.3,14.8,14.7,14.1,14.1
auto_theft,4.8,5,5.7,6.6,6.6,6.5,6.5,6.3
other_theft,9.8,9.3,9.4,8.7,8.2,8.2,7.7,7.8
riots,3,3,3.2,3,3,2.9,3.1,2.7
criminal_breach_of_trust,0.7,0.8,0.8,0.8,0.7,0.8,0.7,0.7
cheating,3.1,3.3,3.2,3.4,3.6,3.8,3.9,4.1
counterfeiting,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
arson,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.4
hurt,14.1,13.7,13.6,13.2,13,13,13.9,12.6
dowry_deaths,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3
molestation,1.9,1.9,1.9,1.8,1.8,1.8,1.9,2.7
sexual_harassment,0.5,0.6,0.6,0.5,0.4,0.4,0.4,0.5
cruelty_by_husband_and_relatives,3.4,3.8,3.9,4.2,4.2,4.3,4.5,4.5
importation_of_girls,0,0,0,0,0,0,0,0
causing_death_by_negligence,4.2,4.4,4.4,4.6,4.8,4.7,4.5,4.2
other_ipc_crimes,41.5,41.7,40.9,40.8,41.5,41.5,40.5,41.3
total_cognizable_crimes_under_ipc,100,100,100,100,100,100,100,100
