SL. No.,Category,State/UT/City,Number of Cases Reported,Number of Victims - Below 10 Years,Number of Victims - 10-16 Years,Number of Victims - 16-30 Years,Number of Victims - 30 Years and Above
1,State,Andhra Pradesh,583,39,154,323,67
2,State,Arunachal Pradesh,21,3,3,14,1
3,State,Assam,471,16,111,295,49
4,State,Bihar,956,12,218,557,169
5,State,Goa,16,2,6,5,3
6,State,Gujarat,215,13,66,116,20
7,State,Haryana,155,11,29,83,32
8,State,Himachal Pradesh,60,6,21,26,7
9,State,Jammu & Kashmir,176,1,29,116,30
10,State,Karnataka,170,17,42,93,18
11,State,Kerala,206,8,53,123,22
12,State,Madhya Pradesh,2244,53,227,1152,812
13,State,Maharashtra,825,49,260,430,86
14,State,Manipur,13,2,0,11,0
15,State,Meghalaya,20,2,4,13,1
16,State,Mizoram,47,0,33,14,0
17,State,Nagaland,10,1,1,7,1
18,State,Orissa,196,3,25,130,38
19,State,Punjab,81,13,20,37,11
20,State,Rajasthan,721,16,68,542,95
21,State,Sikkim,5,0,3,2,0
22,State,Tamil Nadu,279,19,62,169,29
23,State,Tripura,66,2,16,33,15
24,State,Uttar Pradesh,1468,51,309,896,212
25,State,West Bengal,575,28,190,325,32
Total (States),State,Total (States),9579,367,1950,5512,1750
26,UT,A & N Islands,6,0,1,5,0
27,UT,Chandigarh,7,2,2,1,2
28,UT,D & N Haveli,2,0,0,2,0
29,UT,Daman & Diu,0,0,0,0,0
30,UT,Delhi,152,0,11,121,20
31,UT,Lakshadweep,0,0,0,0,0
32,UT,Pondicherry,6,0,1,5,0
Total (UTs),UT,Total (UTs),173,2,15,134,22
Total (All-India),Total (All-India),Total (All-India),9752,369,1965,5646,1772
33,City,Ahmedabad,13,2,4,7,0
34,City,Bangalore,31,6,7,17,1
35,City,Bombay,108,15,38,49,6
36,City,Calcutta,27,6,8,11,2
37,City,Delhi,137,0,11,106,20
38,City,Hyderabad,16,0,3,11,2
39,City,Jaipur,19,0,0,11,8
40,City,Kanpur,18,0,4,13,1
41,City,Lucknow,30,6,10,9,5
42,City,Madras,25,2,6,17,0
43,City,Nagpur,50,3,22,21,4
44,City,Pune,28,0,12,16,0
