SL. No. (Col. 1),Crime Head (Col. 2),Total Number of Persons Under Trial Including those from Previous Year (Col. 3),Number of Persons whose - Cases Compounded Or Withdrawn (Col. 4),Number of Persons whose - Trial Completed (Col. 5),Number of Persons whose - Trial Remained Pending (Col. 6),Number of Persons Convicted (Col. 7),Percentage of Persons - whose Trails Remained Pending [Col. 6*100/Col. 3] (Col. 8),Percentage of Persons - Convicted to Trial Completed [Col. 7*100/5] (Col. 9)
1,Arms Act,205057,2157,48001,154899,30113,75.5,62.7
2,Narcotic Drugs & Psychotropic Substances Act,41174,123,9165,31886,4024,77.4,43.9
3,Gambling Act,668121,3773,311914,352434,265051,52.8,85
4,Excise Act,261190,3388,89858,167944,66356,64.3,73.8
5,Prohibition Act,1653549,43033,850679,759837,675172,46,79.4
6,Explosive & Explosive Substances Act,14148,540,2851,10757,1685,76,59.1
7,Immoral Traffic (Prevention) Act,31145,1347,18218,11580,15805,37.2,86.8
8,Indian Railways Act,49473,224,31254,17995,28020,36.4,89.7
9,Foreigner's Registration Act,3354,41,2088,1225,1184,36.5,56.7
10,Protection Of Civil Rights Act,15315,306,4119,10890,1921,71.1,46.6
11,Indian Passport Act,1201,9,548,644,309,53.6,56.4
12,Essential Commodities Act,32294,648,10391,21255,7284,65.8,70.1
13,Terrorist & Disruptive Activites Act,1589,108,415,1066,160,67.1,38.6
14,Antiquity & Art Treasure Act,6,0,0,6,0,100,NA
15,Dowry Prohibition Act,8190,208,1347,6635,381,81,28.3
16,Other LSL Crimes,3323280,56243,2526306,740731,2385300,22.3,94.4
17,Total Cognizable Crimes Under LSL,6309086,112148,3907154,2289784,3482765,36.3,89.1
