SL. No.,Year,7-12 Years,Percentage to Total - 7-12 Years,12-16 Years,Percentage to Total - 12-16 Years,16-18 Years,Percentage to Total - 16-18 Years,18-21 Years,Percentage to Total - 18-21 Years,Overall Age Group
1,1979,10539,6.2,18315,10.8,26226,15.4,114963,67.6,170043
2,1980,10457,5.6,20048,10.7,36899,19.7,120181,64,187585
3,1981,9485,5,17649,9.3,33969,17.8,129464,67.9,190567
4,1982,8272,4.9,15218,9,25618,15.2,119229,70.8,168337
5,1983,8290,4.8,16949,9.9,26153,15.2,120222,70.1,171614
6,1984,5846,3.6,12472,7.7,25054,15.4,118888,73.3,162260
7,1985,5991,3.6,11516,6.8,21172,12.6,129820,77,168499
8,1986,5138,3,12163,7.1,23940,14.1,128908,75.8,170149
9,1987,5279,2.9,10387,5.8,22209,12.3,142087,79,179962
10,1988,3446,9,31098,81.5,3624,9.5,NA,NA,38168
11,1989,4812,13.2,21028,57.8,10552,29,NA,NA,36392
Percentage Change in 1989 Over 1979,Percentage Change in 1989 Over 1979,-54.3,NA,14.8,NA,NA,NA,NA,NA,NA
Percentage Change in 1989 Over 1988,Percentage Change in 1989 Over 1988,39.6,NA,-32.4,NA,191.2,NA,NA,NA,-4.7
