SL. No. (Col. 1),Crime Head (Col. 2),Percentage of Cases to Total Cases for Trial - Compounded or Withdrawn (Col. 3),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Convicted (Col. 4),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Acquitted or Discharged (Col. 5),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Total [Col. 4+5] (Col. 6),Percentage of Cases to Total Cases for Trial - Pending Trial (Col. 7)
1,Arms Act,0.6,15.4,8.2,23.7,75.8
2,Narcotic Drugs & Psychotropic Substances Act,0.4,9.2,11.9,21.1,78.5
3,Gambling Act,0.4,42.7,5.2,47.8,51.8
4,Excise Act,0.2,24.5,8.4,32.9,66.8
5,Prohibition Act,2.4,39,11.2,50.3,47.3
6,Explosive & Explosive Substances Act,0.4,13.3,7.1,20.4,79.2
7,Immoral Traffic (Prevention) Act,0.9,63.8,3.9,67.8,31.4
8,Indian Railways Act,0.1,71.4,1.3,72.7,27.2
9,Foreigner's Registration Act,1.2,35.3,28,63.3,35.5
10,Protection Of Civil Rights Act,1.5,8.8,17.1,25.9,72.6
11,Indian Passport Act,0.4,22.2,17.7,39.9,59.7
12,Essential Commodities Act,0.1,27.2,8,35.2,64.7
13,Terrorist & Disruptive Activites Act,7,6.4,27.7,34,59
14,Antiquity & Art Treasure Act,0,27.3,0,27.3,72.7
15,Dowry Prohibition Act,1.1,4.8,8.2,13,85.9
16,Other L & SL Crimes,2.8,70.6,4.8,75.4,21.8
17,Total Cognizable Crimes Under L & SL,2.3,55.1,7.1,62.2,35.5
