SL. No.,Crime Head,Incidence - 1979,Volume - 1979,Incidence - 1984,Volume - 1984,Incidence - 1985,Volume - 1985,Incidence - 1986,Volume - 1986,Incidence - 1987,Volume - 1987,Incidence - 1988,Volume - 1988,Incidence - Quinquennial Avg. 1984-1988 (Q.A.),Volume - Quinquennial Avg. 1984-1988 (Q.A.),Incidence - 1989,Volume - 1989,Percentage Change in 1989 ((+) Increase/ (-) Decrease) Over - 1979,Percentage Change in 1989 ((+) Increase/ (-) Decrease) Over - Quinquennial Avg. (Q.A.),Percentage Change in 1989 ((+) Increase/ (-) Decrease) Over - 1988
1,Murder,20349,3.1,25786,3.5,25970,3.5,27269,3.6,28513,3.6,28771,3.6,27262,3.5,31222,3.8,53.4,14.5,8.5
2,Attempt to Commit Murder,*,NA,*,NA,*,NA,*,NA,*,NA,20689,2.6,*,NA,23748,2.9,NA,NA,14.8
3,C.H. Not Amounting to Murder,3008,0.5,4093,0.6,3995,0.5,4195,0.5,3721,0.5,3755,0.5,3952,0.5,4100,0.5,36.3,3.8,9.2
4,Rape,4300,0.7,6740,0.9,7289,1,7952,1,8559,1.1,9099,1.1,7928,1,9752,1.2,126.8,23,7.2
5,Kidnapping & Abduction,13125,2,15141,2.1,16051,2.1,15667,2,15251,2,15771,2,15576,2,17318,2.1,31.39,11.2,9.8
5,I) Of Women & Girls,*,NA,*,NA,*,NA,*,NA,*,NA,13880,1.7,*,NA,14169,1.7,NA,NA,2.1
5,II) Of Others,*,NA,*,NA,*,NA,*,NA,*,NA,1891,0.2,*,NA,3149,0.4,NA,NA,66.5
6,Dacoity,14028,2.2,12301,1.7,11254,1.5,10444,1.4,10036,1.3,9306,1.2,10668,1.5,9896,1.2,-29.5,-7.2,6.3
7,Preparation & Assembly for Dacoity,*,NA,*,NA,*,NA,*,NA,*,NA,931,0.1,*,NA,1015,0.1,NA,NA,9
8,Robbery,22860,3.5,23204,3.2,22501,3,22395,2.9,22917,2.9,21611,2.7,22526,3,22480,2.8,-1.7,-0.2,4
9,Burglary,168574,25.9,136272,18.5,130354,17.4,128946,16.8,125466,16.1,124304,15.6,129068,17.6,129020,15.9,-23.5,0,3.8
10,Theft,430483,66.1,330669,45,330554,44,323533,42.2,310575,39.7,319847,40.2,323036,44,341240,42,-20.7,5.6,6.7
11,Riots,98896,15.2,101460,13.8,99757,13.3,94197,12.3,90789,11.6,94587,11.9,96158,13.2,98943,12.2,0,2.9,4.6
12,Criminal Breach of Trust,22016,3.4,18428,2.5,18417,2.5,19021,2.5,17847,2.3,17352,2.2,18213,2.5,17541,2.2,-20.3,-3.7,1.1
13,Cheating,18370,2.8,19077,2.6,21016,2.8,22579,2.9,22115,2.8,22705,2.9,21498,2.8,23691,2.9,29,10.2,4.3
14,Counterfeiting,525,0.1,1118,0.2,1504,0.2,1687,0.2,1653,0.2,1537,0.2,1500,0.2,2075,0.3,295.2,38.4,35
15,Other IPC Crimes,519634,79.8,664371,90.3,696069,92.7,727950,95,749550,95.9,750090,94.2,717606,92.2,797803,98.3,53.5,11.2,6.4
16,Total Cognizable Crimes Under IPC,1336168,205.2,1358660,184.7,1384731,184.4,1405835,183.5,1406992,180.1,1440356,180.8,1399315,184,1529844,188.5,14.5,9.3,6.2
