SL. No.,Category,State/UT/City,1988,1989,Percentage Variation in 1989 Over 1988,Percentage Contribution to All-India During 1989
1,State,Andhra Pradesh,156919,168944,7.7,7.3
2,State,Arunachal Pradesh,1808,2160,19.5,0.1
3,State,Assam,57737,56929,-1.4,2.5
4,State,Bihar,229691,225622,-1.8,9.8
5,State,Goa,4456,5102,14.5,0.2
6,State,Gujarat,116797,125778,7.7,5.5
7,State,Haryana,36919,39414,6.8,1.7
8,State,Himachal Pradesh,9731,9359,-3.8,0.4
9,State,Jammu & Kashmir,39819,32700,-17.9,1.4
10,State,Karnataka,146164,146216,0,6.3
11,State,Kerala,105643,115327,9.2,5
12,State,Madhya Pradesh,251426,259032,3,11.2
13,State,Maharashtra,438139,259966,-40.7,11.3
14,State,Manipur,2831,2684,-5.2,0.1
15,State,Meghalaya,2099,2129,1.4,0.1
16,State,Mizoram,1368,928,-32.2,0
17,State,Nagaland,1388,1331,-4.1,0.1
18,State,Orissa,70313,81338,15.7,3.5
19,State,Punjab,17792,16371,-8,0.7
20,State,Rajasthan,125203,144673,15.6,6.3
21,State,Sikkim,433,541,24.9,0
22,State,Tamil Nadu,201976,194063,-3.9,8.4
23,State,Tripura,7988,6609,-17.3,0.3
24,State,Uttar Pradesh,264787,271329,2.5,11.8
25,State,West Bengal,96460,98206,1.8,4.3
Total (States),State,Total (States),2387887,2266751,-5.1,98.4
26,UT,A & N Islands,810,1154,42.5,0.1
27,UT,Chandigarh,2068,6121,196,0.3
28,UT,D & N Haveli,853,460,-46.1,0
29,UT,Daman & Diu,182,235,29.1,0
30,UT,Delhi,22097,23694,7.2,1
31,UT,Lakshadweep,3,22,633.3,0
32,UT,Pondicherry,4603,4795,4.2,0.2
Total (UTs),UT,Total (UTs),30616,36481,19.2,1.6
Total (All-India),Total (All-India),Total (All-India),2418503,2303232,-4.8,100
33,City,Ahmedabad,13791,14768,7.1,0.6
34,City,Bangalore,13579,14332,5.5,0.6
35,City,Bombay,29700,32299,8.8,1.4
36,City,Calcutta,19471,15799,-18.9,0.7
37,City,Delhi,20054,22197,10.7,1
38,City,Hyderabad,6064,7101,17.1,0.3
39,City,Jaipur,5498,6039,9.8,0.3
40,City,Kanpur,6409,5822,-9.2,0.3
41,City,Lucknow,3070,4116,34.1,0.2
42,City,Madras,12836,13765,7.2,0.6
43,City,Nagpur,8481,7812,-7.9,0.3
44,City,Pune,13594,17306,27.3,0.8
