SL. No.,Year,Estimated Mid-Year Population* (in Lakhs)**,Incidence - Indian Penal Code (IPC),Incidence - Local & Special Laws (LSL),Incidence - Total,Volume - Indian Penal Code (IPC),Volume - Local & Special Laws (LSL),Volume - Total,Percentage of IPC Crimes to Total Cognizable Crimes
1,1979,6510,1336168,2823568,4159736,205.2,433.7,639,32.1
2,1980,6636,1368529,2583700,3952229,206.2,389.3,595.6,34.6
3,1981,6901,1385757,2546399,3932156,200.8,369,569.8,35.2
4,1982,7052,1353904,2970068,4323972,192,421.2,613.2,31.3
5,1983,7204,1349866,2921063,4270929,187.4,405.5,592.9,31.6
6,1984,7356,1358660,2916808,4275468,184.7,396.5,581.2,31.8
7,1985,7509,1384731,3096481,4481212,184.4,412.4,596.8,30.9
8,1986,7661,1405835,2984654,4390489,183.5,389.6,573.1,32
9,1987,7814,1406992,3589326,4996318,180.1,459.3,639.4,28.2
10,1988,7966,1440356,3765669,5206025,180.8,472.7,653.5,27.7
11,1989,8118,1529844,3847665,5377509,188.5,474,662.4,28.4
12,Percentage Change in 1989 Over 1979,24.7,14.5,36.3,29.3,-8.2,9.3,3.7,-11.4
13,Compound Growth Rate Per Annum,2.2,0.9,3.8,2.9,-1.3,1.6,0.7,-1.9
