SL. No.,Year,Incidence of - juvenile Crime,Incidence of - Total Cognizable Crimes,Percentage of Juvenile Crimes to Total Crimes,Estimated Mid-Year Population* (in Lakh),Volume of juvenile Crime (Per Lakh of Population)
1,1979,46351,1336168,3.5,6510,7.1
2,1980,55129,1368529,4,6636,8.3
3,1981,61019,1385757,4.4,6901,8.8
4,1982,59345,1353904,4.4,7052,8.4
5,1983,55473,1349866,4.1,7204,7.7
6,1984,42803,1358660,3.2,7356,5.8
7,1985,49317,1384731,3.6,7509,6.6
8,1986,55887,1405835,4,7661,7.3
9,1987,52610,1406992,3.7,7814,6.7
10,1988**,24827,1440356,1.7,7966,3.1
11,1989,18457,1529844,1.2,8118,2.3
