SL. No. (Col. 1),Crime Head (Col. 2),Percentage of Cases to Total Cases for Investigation in which - Investigation was Refused (Col. 3),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Charge Found False/ Mistake of Law etc. (Col. 4),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Final Report True Submitted (Col. 5),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Chargesheets were Laid (Col. 6),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Total [Col. 4+5+6] (Col. 7),Percentage of Cases Pending Investigation (Col. 8)
1,Murder,0.2,2.5,11.6,49.8,63.9,36
2,Attempt to Commit Murder,0.2,4.5,11,60,75.5,24.4
3,C.H. Not Amounting to Murder,0.1,3.8,10.9,55,69.6,30.3
4,Rape,0.1,6.6,5.4,60.2,72.2,27.7
5,Kidnapping & Abduction,0.3,19.5,12.1,38.4,70,29.7
5,I) Of Women & Girls,0.3,20.3,11,37.6,68.9,30.8
5,II) Of Others,0.3,15.6,17.5,42.4,75.5,24.2
6,Dacoity,0.2,6.8,18.4,31.4,56.6,43.3
7,Preparation & Assembly for Dacoity,0.1,1.2,7.4,51.2,59.9,40.1
8,Robbery,0.3,10.2,24.5,36.2,70.9,28.8
9,Burglary,0.3,4.5,43.8,29.7,78.1,21.6
10,Theft,0.8,4.8,43.5,30.8,79.1,20.1
11,Riots,0.3,10.6,7.5,56.5,74.5,25.2
12,Criminal Breach of Trust,1,8.5,13.8,36.3,58.6,40.5
13,Cheating,0.9,12.2,15,32,59.1,39.9
14,Counterfeiting,22.5,13.2,20.2,8.1,41.4,36.1
15,Other IPC Crimes,0.4,5.5,9.1,68.9,83.5,16.1
16,Total Cognizable Crimes Under IPC,0.5,6,20.2,53,79.2,20.3
