SL. No. (Col. 1),Crime Head (Col. 2),Total Number of Cases for Trial Including Pending Cases (Col. 3),Number of Cases - Compounded or Withdrawn (Col. 4),Number of Cases - in which Trials were Completed - Convicted (Col. 5),Number of Cases - in which Trials were Completed - Acquitted or Discharged (Col. 6),Number of Cases - in which Trials were Completed - Total [Col. 5+6] (Col. 7),Number of Cases - Pending Trial (Col. 8)
1,Arms Act,193671,1128,29861,15945,45806,146737
2,Narcotic Drugs & Psychotropic Substances Act,37511,136,3464,4457,7921,29454
3,Gambling Act,323514,1304,138070,16666,154736,167474
4,Excise Act,257567,628,63220,21558,84778,172161
5,Prohibition Act,1779710,43283,694853,199480,894333,842094
6,Explosive & Explosive Substances Act,10300,43,1368,730,2098,8159
7,Immoral Traffic (Prevention) Act,20634,178,13170,811,13981,6475
8,Indian Railways Act,42118,48,30052,559,30611,11459
9,Foreigner's Registration Act,2828,35,998,791,1789,1004
10,Protection Of Civil Rights Act,7000,105,615,1196,1811,5084
11,Indian Passport Act,991,4,220,175,395,592
12,Essential Commodities Act,26085,16,7091,2097,9188,16881
13,Terrorist & Disruptive Activites Act,658,46,42,182,224,388
14,Antiquity & Art Treasure Act,11,0,3,0,3,8
15,Dowry Prohibition Act,3194,36,152,263,415,2743
16,Other L & SL Crimes,3275576,92449,2311268,157773,2469041,714086
17,Total Cognizable Crimes Under L & SL,5981368,139439,3294447,422683,3717130,2124799
