States/ UTs,District,Murder - Total,Murder - Infanticide,Murder - Other Murder,Rape,Kidnapping & Abduction,Foeticide,Abetment to Suicide,Exposure and Abandonment,Procuration of Minor Girls,Buying of Girls for Prostitution,Selling of Girls for Prostitution,Child Marriage Restraint Act,Other Crimes Committed against children,Total Crimes Committed against Children
Andhra Pradesh,Adilabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,Anantapur,17,0,17,18,43,0,11,0,0,0,0,1,0,90
Andhra Pradesh,Chittoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,Cuddapah,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,East Godavari,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,Guntakal Rly.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,Hyderabad City,0,0,0,20,2,0,0,0,0,0,0,1,0,23
Andhra Pradesh,Karimnagar,0,0,0,14,3,0,0,0,0,0,0,0,12,29
Andhra Pradesh,Khammam,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,Krishna,4,0,4,11,3,0,1,0,3,0,0,0,5,27
Andhra Pradesh,Kurnool,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Andhra Pradesh,Mahaboobnagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,Medak,7,0,7,13,10,0,0,0,3,0,0,1,0,34
Andhra Pradesh,Nalgonda,3,1,2,20,10,0,0,0,0,0,0,0,0,33
Andhra Pradesh,Nellore,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,Nizamabad,3,0,3,10,5,0,1,5,0,0,0,0,15,39
Andhra Pradesh,Prakasham,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Andhra Pradesh,Ranga Reddy,3,0,3,3,0,0,0,0,2,0,0,0,0,8
Andhra Pradesh,Secunderabad Rly.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,Srikakulam,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,Vijayawada,1,0,1,7,4,0,0,0,0,0,0,0,0,12
Andhra Pradesh,Vijayawada Rly.,3,0,3,1,1,0,0,0,0,0,0,0,0,5
Andhra Pradesh,Visakha Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,Visakhapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,Vizianagaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,Warangal,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Andhra Pradesh,West Godavari,2,0,2,19,5,0,0,0,1,1,0,0,1,29
Andhra Pradesh,Total,43,1,42,137,86,0,13,5,9,1,0,6,33,333
Arunachal Pradesh,Changlang,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Arunachal Pradesh,Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Kameng East,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Kameng West,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Lohit,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Papum Pare,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Siang East,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Siang Upper,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Siang West,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Subansiri Lower,0,0,0,0,3,0,0,0,0,0,0,0,0,3
Arunachal Pradesh,Subansiri Upper,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Tawang,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Tirap,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Arunachal Pradesh,Total,0,0,0,3,3,0,0,0,0,0,0,0,0,6
Assam,Barpeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Bongaigaon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,C.I.D.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Cachar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Darrang,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Dhemaji,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Dhubri,1,1,1,0,0,0,0,0,0,0,0,1,0,3
Assam,Dibrugarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,G.R.P.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Goalpara,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Golaghat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Guwahati City,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Hailakandi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Jorhat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Kamrup,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Karbi Anglong,0,0,0,0,1,0,0,0,6,0,0,0,0,7
Assam,Karimganj,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Kokrajhar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Lakhimpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Morigaon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,N.C. Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Nagaon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Nalbari,1,0,0,3,0,0,0,0,0,0,0,0,1,4
Assam,R.P.O.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Sibsagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Sonitpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Tinsukia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Total,2,1,1,3,1,0,0,0,6,0,0,1,1,14
