Category,States/ UTs,Public Servant Offences by/ against,False Electronic Evidence,Destruction of Electronic Evidence,Forgery,Criminal Breach of Trust/ Fraud,Property Mark - Counterfeiting,Property/mark - Tampering,Property/mark - Currency/ Stamps,Total
State,Andhra Pradesh,0,0,0,25,197,0,5,26,253
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0,0,0
State,Bihar,0,0,0,0,0,0,0,0,0
State,Chhattisgarh,0,0,0,0,0,0,0,0,0
State,Goa,0,0,0,1,0,0,0,3,4
State,Gujarat,0,0,0,44,196,0,5,4,249
State,Haryana,0,0,0,0,0,0,0,0,0
State,Himachal Pradesh,0,0,0,29,70,0,0,0,99
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0
State,Jharkhand,0,0,0,0,0,0,0,0,0
State,Karnataka,0,0,0,0,0,0,0,0,0
State,Kerala,0,0,0,1,0,0,0,0,1
State,Madhya Pradesh,0,0,0,0,0,0,0,0,0
State,Maharashtra,0,0,0,1,0,0,0,0,1
State,Manipur,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0,0,0
State,Orissa,0,0,0,0,0,0,0,0,0
State,Punjab,0,2,0,0,11,0,0,13,26
State,Rajasthan,0,0,0,0,0,0,0,0,0
State,Sikkim,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,0,0,0,0,0,0,0,0,0
State,Tripura,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,0,0,0,49,30,0,0,2,81
State,Uttaranchal,0,0,0,0,0,0,0,0,0
State,West Bengal,0,0,0,0,0,0,0,0,0
State,Total (States),0,2,0,150,504,0,10,48,714
Union Territory,A & N Islands,0,0,0,11,4,0,0,0,15
Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,5,2,0,0,0,7
Union Territory,Delhi,0,0,0,1,0,0,0,1,2
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),0,0,0,17,6,0,0,1,24
Total (All-India),Total (All-India),0,2,0,167,510,0,10,49,738
