Category,States/ UTs,Number of Cases in which Property was - Stolen,Number of Cases in which Property was - Recovered,Value of Property (Rs. In Lakh) - Stolen,Value of Property (Rs. In Lakh) - Recovered
State,Andhra Pradesh,178,114,17.9,11.1
State,Arunachal Pradesh,2,0,2,0
State,Assam,78,29,8.9,3.7
State,Bihar,129,19,10,1.7
State,Chhattisgarh,142,74,31.3,4.6
State,Goa,8,3,6.8,2.9
State,Gujarat,0,0,0,0
State,Haryana,10,9,0.5,0.2
State,Himachal Pradesh,6,1,0.4,0.1
State,Jammu & Kashmir,0,0,0,0
State,Jharkhand,12,3,0.3,0.1
State,Karnataka,10,5,0.5,0
State,Kerala,13,2,12.8,1
State,Madhya Pradesh,115,44,6.7,3.3
State,Maharashtra,5,2,0.2,0
State,Manipur,0,0,0,0
State,Meghalaya,0,0,0,0
State,Mizoram,0,0,0,0
State,Nagaland,1,1,0.1,0.1
State,Orissa,3,1,0.5,0.2
State,Punjab,0,0,0,0
State,Rajasthan,92,24,41.6,35.1
State,Sikkim,0,0,0,0
State,Tamil Nadu,56,29,2.8,1.6
State,Tripura,0,0,0,0
State,Uttar Pradesh,5,3,42.9,35
State,Uttaranchal,0,0,0,0
State,West Bengal,98,5,22,1.7
State,Total (States),963,368,208.5,102.3
Union Territory,A & N Islands,0,0,0,0
Union Territory,Chandigarh,1,1,0.2,0.2
Union Territory,D & N Haveli,3,3,0.1,0.1
Union Territory,Daman & Diu,0,0,0,0
Union Territory,Delhi,0,0,0,0
Union Territory,Lakshadweep,0,0,0,0
Union Territory,Puducherry,0,0,0,0
Union Territory,Total (UTs),4,4,0.2,0.2
Total (All-India),Total (All-India),967,372,208.7,102.5
