Category,States/ UTs,Number of Deaths in Police Custody - during Hospitalisation/ Treatment,Number of Deaths in Police Custody - due to Accidents,Number of Deaths in Police Custody - by Mob Attack/ Riot,Number of Deaths in Police Custody - by Other Criminals,Number of Deaths in Police Custody - by Suicide,Number of Deaths in Police Custody - while Escaping from Custody,Number of Deaths in Police Custody - Illness/ Natural Death
State,Andhra Pradesh,0,0,0,1,5,0,1
State,Arunachal Pradesh,0,0,0,0,0,0,0
State,Assam,9,0,0,0,0,0,0
State,Bihar,0,0,0,0,1,0,0
State,Chhattisgarh,0,1,0,0,0,0,0
State,Goa,0,0,0,0,0,0,0
State,Gujarat,1,1,0,0,2,1,0
State,Haryana,1,0,0,1,0,0,1
State,Himachal Pradesh,0,0,0,0,0,0,0
State,Jammu & Kashmir,0,0,0,0,0,0,0
State,Jharkhand,0,0,0,0,0,0,0
State,Karnataka,0,1,0,0,4,0,0
State,Kerala,0,0,0,0,0,0,0
State,Madhya Pradesh,0,0,0,0,1,0,0
State,Maharashtra,5,0,2,0,10,0,5
State,Manipur,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,1,0,0
State,Nagaland,0,0,0,0,0,0,0
State,Orissa,0,0,0,0,0,0,0
State,Punjab,0,0,0,0,0,0,1
State,Rajasthan,3,1,0,0,3,0,0
State,Sikkim,0,0,0,0,0,0,0
State,Tamil Nadu,1,0,0,0,4,1,0
State,Tripura,1,0,0,0,0,0,0
State,Uttar Pradesh,4,0,0,2,2,0,1
State,Uttaranchal,0,0,0,0,0,0,0
State,West Bengal,12,0,0,0,3,0,0
State,Total (States),37,4,2,4,36,2,9
Union Territory,A & N Islands,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0
Union Territory,Delhi,0,0,0,0,0,0,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0,0
Union Territory,Total (UTs),0,0,0,0,0,0,0
Total (All-India),Total (All-India),37,4,2,4,36,2,9
