Category,States/ UTs/ Cities,Below 18 Years,Between 18 and below 30 Years,Between 30 - 45 Years,Between 45 - 60 Years,Above 60 Years,Total
State,Andhra Pradesh,3,73,205,87,22,390
State,Arunachal Pradesh,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0
State,Bihar,0,0,0,0,0,0
State,Chhattisgarh,0,0,0,0,0,0
State,Goa,0,3,4,0,0,7
State,Gujarat,0,171,292,81,7,551
State,Haryana,0,0,0,0,0,0
State,Himachal Pradesh,0,29,63,14,2,108
State,Jammu & Kashmir,0,0,0,0,0,0
State,Jharkhand,0,0,0,0,0,0
State,Karnataka,0,0,0,0,0,0
State,Kerala,0,1,0,1,0,2
State,Madhya Pradesh,0,0,0,0,0,0
State,Maharashtra,0,1,1,0,0,2
State,Manipur,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0
State,Orissa,0,0,0,0,0,0
State,Punjab,0,15,41,10,0,66
State,Rajasthan,0,0,0,0,0,0
State,Sikkim,0,0,0,0,0,0
State,Tamil Nadu,0,0,0,0,0,0
State,Tripura,0,0,0,0,0,0
State,Uttar Pradesh,0,58,87,14,1,160
State,Uttaranchal,0,0,0,0,0,0
State,West Bengal,0,0,0,0,0,0
State,Total (States),3,351,693,207,32,1286
Union Territory,A & N Islands,0,0,13,2,0,15
Union Territory,Chandigarh,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,4,1,0,5
Union Territory,Delhi,0,1,3,0,0,4
Union Territory,Lakshadweep,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0
Union Territory,Total (UTs),0,1,20,3,0,24
Total (All-India),Total (All-India),3,352,713,210,32,1310
