Crime Head,Male,Female,Total,Percentage to Total - Male,Percentage to Total - Female
Arms Act,69485,45,69530,99.9,0.1
Narcotic Drugs & Psychotropic Substances Act,26747,1723,28470,93.9,6.1
Gambling Act,350337,312,350649,99.9,0.1
Excise Act,125156,8072,133228,93.9,6.1
Prohibition Act,365678,116448,482126,75.8,24.2
Explosive & Explosive Substances Act,5609,32,5641,99.4,0.6
Immoral Traffic (P) Act,7034,9666,16700,42.1,57.9
Indian Railways Act,65071,2822,67893,95.8,4.2
Registration of Foreigners Act,3491,460,3951,88.4,11.6
Protection of Civil Rights Act - Total,1229,47,1276,96.3,3.7
Protection of Civil Rights Act - (i) PCR Act for SCs,1205,46,1251,96.3,3.7
Protection of Civil Rights Act - (ii) PCR Act for STs,24,1,25,96,4
Indian Passport Act,1308,146,1454,90,10
Essential Commodities Act,5103,36,5139,99.3,0.7
Terrorist & Disruptive Activities Act,141,5,146,96.6,3.4
Antiquity & Art Treasure Act,128,1,129,99.2,0.8
Dowry Prohibition Act,5343,1336,6679,80,20
Child Marriage Restraint Act,384,91,475,80.8,19.2
Indecent Representation of Women (P) Act,1902,625,2527,75.3,24.7
Copyrights Act,5429,30,5459,99.5,0.5
Sati Prevention Act,0,0,0,0,0
SC/ ST (Prevention of Atrocities) Act - Total,22583,831,23414,96.5,3.5
SC/ ST (Prevention of Atrocities) Act - (i) Atrocities Act for SCs,19843,735,20578,96.4,3.6
SC/ ST (Prevention of Atrocities) Act - (ii) Atrocities Act for STs,2740,96,2836,96.6,3.4
Forest Act,8750,16,8766,99.8,0.2
Other SLL Crimes,3049275,45662,3094937,98.5,1.5
Total Cognizable Crimes under SLL,4120183,188406,4308589,95.6,4.4
