Category,States/ UTs,DG/ Addl.DG/ IG/ DIG - Sanctioned,DG/ Addl.DG/ IG/ DIG - Actual,SSP/ SP/ Addl.SP/ ASP/ Dy.SP - Sanctioned,SSP/ SP/ Addl.SP/ ASP/ Dy.SP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers below A.S.I. - Sanctioned,Officers below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
State,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,3,3,162,162,165,165
State,Bihar,0,0,0,0,0,0,0,0,0,0
State,Chhattisgarh,0,0,0,0,2,4,72,28,74,32
State,Goa,0,0,0,0,0,0,0,32,0,32
State,Gujarat,0,0,0,0,0,0,0,0,0,0
State,Haryana,0,0,0,0,0,0,0,0,0,0
State,Himachal Pradesh,0,0,0,0,0,6,0,183,0,189
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0
State,Jharkhand,0,0,0,0,0,0,0,0,0,0
State,Karnataka,0,0,1,0,29,0,443,0,473,0
State,Kerala,0,0,0,0,4,0,876,0,880,0
State,Madhya Pradesh,0,0,0,0,0,0,0,0,0,0
State,Maharashtra,0,0,0,0,0,0,0,0,0,0
State,Manipur,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,8,8,128,128,136,136
State,Nagaland,0,0,1,1,0,0,0,0,1,1
State,Orissa,0,0,0,0,0,0,0,0,0,0
State,Punjab,0,0,0,0,0,0,0,0,0,0
State,Rajasthan,0,0,0,0,0,0,0,0,0,0
State,Sikkim,0,0,0,1,0,0,0,0,0,1
State,Tamil Nadu,0,0,0,0,0,0,2538,1538,2538,1538
State,Tripura,0,0,0,0,4,0,36,0,40,0
State,Uttar Pradesh,0,1,0,1,0,0,0,0,0,2
State,Uttaranchal,0,0,0,0,0,0,0,0,0,0
State,West Bengal,0,0,0,0,0,0,0,0,0,0
State,Total (States),0,1,2,3,50,21,4255,2071,4307,2096
Union Territory,A & N Islands,0,0,0,0,0,1,0,28,0,29
Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,0,0,0,0,1,2,51,89,52,91
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),0,0,0,0,1,3,51,117,52,120
Total (All-India),Total (All-India),0,1,2,3,51,24,4306,2188,4359,2216
