Sr. No. (Col. 1),Crime Head (Col. 2),Cases Withdrawn by Govt. (Col. 3),Percentage of Cases to Total Cases for Trial - Compounded or Withdrawn (Col. 4),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Convicted (Col. 5),Percentage of Cases to Total Cases for Trial in which - Trial were Completed - Acquitted or Discharged (Col. 6),Percentage of Cases to Total Cases for Trial - in which Trial were Completed - Total (Col. 7) = {(Col. 5) + (Col. 6)},Percentage of Cases to Total Cases for Trial - Pending Trial (Col. 8),Conviction Rate (Col. 9) = {(Col. 5)/ (Col. 7) × 100}
1,Murder,0,0.2,5.5,9.8,15.3,84.6,35.7
2,Attempt to Commit Murder,0,0.4,5.1,11.2,16.3,83.3,31
3,C.H. not Amounting to Murder,0,0.3,5.2,10.2,15.4,84.3,33.9
4,Rape - Total,0,0.4,5,13.9,18.9,80.7,26.4
4,Rape - Total i) Custodial Rape,0,0,0,66.7,0,33.3,0
4,Rape - Total ii) Other Rape,0,0.4,5,13.9,18.9,80.7,26.4
5,Kidnapping & Abduction - Total,0,0.5,3.6,10.7,14.3,85.2,25.2
5,Kidnapping & Abduction - i) of Women & Girls,0,0.6,3.5,10.8,14.3,85.1,24.3
5,Kidnapping & Abduction - ii) of Others,0,0.4,3.9,10.4,14.2,85.4,27.2
6,Dacoity,0,0.1,3,8.8,11.8,88,25.2
7,Preparation & Assembly for Dacoity,0,0.1,3.7,10.7,14.5,85.5,25.8
8,Robbery,0,0.2,3.3,8.3,11.7,88.1,28.5
9,Burglary,0,0.7,5,8.8,13.8,85.5,36
10,Theft - Total,0,0.5,5.3,8.8,14.1,85.5,37.4
10,Theft - i) Auto Theft,0,0.5,6.7,8,14.8,84.7,45.6
10,Theft - ii) Other Theft,0,0.5,5,8.9,13.9,85.6,35.7
11,Riots,0,2,3.3,8.3,11.6,86.4,28.6
12,Criminal Breach of Trust,0,1.1,2.3,6.9,9.2,89.7,25.4
13,Cheating,0,1,2.8,6.9,9.6,89.4,28.7
14,Counterfeiting,0,0.1,3.8,8.7,12.5,87.4,30.7
15,Arson,0,1,3,11.5,14.5,84.5,20.7
16,Hurt,0,6.2,4.8,9,13.9,80,34.7
17,Dowry Death,0,0.4,6.5,12.5,19,80.6,34
18,Molestation,0,4.8,4.7,9.9,14.6,80.5,32.1
19,Sexual Harassment,0,2.8,21.5,9.9,31.4,65.7,68.4
20,Cruelty by Husband and Relatives,0,2.4,3,11.3,14.3,83.4,21
21,Importation of Girls,0,0,6.3,22.9,29.2,70.8,21.4
22,Causing Death by Negligence,0,1,8.3,9.7,18,81,46.1
23,Other IPC Crimes,0,2.8,8.2,8.7,16.9,80.3,48.5
Total Cognizable Crimes under IPC,Total Cognizable Crimes under IPC,0,2.6,6.2,9,15.2,82.2,40.6
