Category,States/ UTs,2001,2002,Percentage Variation in 2002 over 2001,Percentage Contribution to All-India during 2002
State,Andhra Pradesh,188419,196661,4.4,7.3
State,Arunachal Pradesh,2965,2613,-11.9,0.1
State,Assam,53500,54588,2,2
State,Bihar,202285,214448,6,8
State,Chhattisgarh,50839,52004,2.3,1.9
State,Goa,2898,2734,-5.7,0.1
State,Gujarat,153251,173200,13,6.4
State,Haryana,59977,60867,1.5,2.3
State,Himachal Pradesh,17217,18214,5.8,0.7
State,Jammu & Kashmir,24423,24892,1.9,0.9
State,Jharkhand,41607,38827,-6.7,1.4
State,Karnataka,160150,156502,-2.3,5.8
State,Kerala,147522,148925,1,5.5
State,Madhya Pradesh,285193,317436,11.3,11.8
State,Maharashtra,280202,267551,-4.5,9.9
State,Manipur,1525,1431,-6.2,0.1
State,Meghalaya,1643,1544,-6,0.1
State,Mizoram,2358,3292,39.6,0.1
State,Nagaland,1129,991,-12.2,0
State,Orissa,69741,76676,9.9,2.8
State,Punjab,39794,45835,15.2,1.7
State,Rajasthan,199980,188929,-5.5,7
State,Sikkim,411,276,-32.8,0
State,Tamil Nadu,206590,217590,5.3,8.1
State,Tripura,3465,4076,17.6,0.2
State,Uttar Pradesh,314055,261054,-16.9,9.7
State,Uttaranchal,12120,12799,5.6,0.5
State,West Bengal,91422,97027,6.1,3.6
State,Total (States),2614681,2640982,1,97.9
Union Territory,A & N Islands,671,585,-12.8,0
Union Territory,Chandigarh,2863,2876,0.5,0.1
Union Territory,D & N Haveli,514,465,-9.5,0
Union Territory,Daman & Diu,343,313,-8.7,0
Union Territory,Delhi,47020,44572,-5.2,1.7
Union Territory,Lakshadweep,16,15,-6.3,0
Union Territory,Puducherry,5432,6735,24,0.2
Union Territory,Total (UTs),56859,55561,-2.3,2.1
Total (All-India),Total (All-India),2671540,2696543,0.9,100
