Category,States/ UTs,Tampering Computer Source Department (Sec 65),Hacking - Loss/ Damage to Computer Resource/ Utility (Sec 66(1),Hacking - Hacking (Sec 66(2),Obscene Publication/ Transmission in Electronic Form Sec 67,Failure - of Compliance/ Orders of Certifying Authority (Sec 68),Failure - To Assist to Decoy or the Information in Interception by Govt. Agency (Sec 69),Unauthorised Access/ Attempt to Access of Protected Computer System (Sec. 70),Obtaining Licence or Digital Signature by Misrepresentation/ Suppression of Fact (Sec. 71),Publishing False Digital Signature/ Certificate (Sec. 73),Fraud Digital Signature (Sec. 74),Breach of Confidentiality/ Privacy (Sec. 72),Other,Total
State,Andhra Pradesh,0,4,0,4,0,0,0,0,0,0,0,0,8
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,2,0,0,0,0,0,0,0,0,2
State,Bihar,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Chhattisgarh,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Goa,0,1,1,0,0,0,0,0,0,0,2,0,4
State,Gujarat,0,1,0,0,0,0,0,0,0,0,0,0,1
State,Haryana,0,1,0,1,0,0,0,0,0,0,0,0,2
State,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jammu & Kashmir,0,0,1,0,0,0,0,0,0,0,0,0,1
State,Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Karnataka,1,0,9,5,0,0,0,0,0,0,0,0,15
State,Kerala,1,0,0,1,0,0,0,0,0,0,1,0,3
State,Madhya Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Maharashtra,1,4,0,7,0,0,0,0,0,0,0,0,12
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,0,0,0,4,0,0,0,0,0,0,0,0,4
State,Punjab,0,0,0,2,0,0,0,0,0,0,0,1,3
State,Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,1,0,0,1,0,0,0,0,0,1,0,0,3
State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,0,1,0,4,0,0,0,0,0,0,0,0,5
State,Uttaranchal,0,0,0,0,0,0,0,0,0,0,0,0,0
State,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Total (States),4,12,11,31,0,0,0,0,0,1,3,1,63
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,1,0,1,0,0,0,0,0,0,0,0,2
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,2,2,0,1,0,0,0,0,0,0,0,0,5
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),2,3,0,2,0,0,0,0,0,0,0,0,7
Total (All-India),Total (All-India),6,15,11,33,0,0,0,0,0,1,3,1,70
