Category,States/ UTs,Total No. of Persons under Arrest including those from Previous Year,Number of - Persons Released before Trial,Number of - Persons Charge Sheeted,Number of - Persons under Investigation at the End of the Year,Pendency Percentage,Pendency Percentage to All India Total
State,Andhra Pradesh,6332,156,4319,1857,29.3,28
State,Arunachal Pradesh,0,0,0,0,0,0
State,Assam,24,5,11,8,33.3,0.1
State,Bihar,4454,565,2785,1104,24.8,16.6
State,Chhattisgarh,1327,3,1235,89,6.7,1.3
State,Goa,1,0,1,0,0,0
State,Gujarat,3388,14,3284,90,2.7,1.4
State,Haryana,523,0,507,16,3.1,0.2
State,Himachal Pradesh,178,2,140,36,20.2,0.5
State,Jammu & Kashmir,14,0,14,0,0,0
State,Jharkhand,274,7,170,97,35.4,1.5
State,Karnataka,4802,199,3962,641,13.3,9.7
State,Kerala,1378,49,766,563,40.9,8.5
State,Madhya Pradesh,17081,40,1922,240,11,3.6
State,Maharashtra,2182,20,0,0,0,0
State,Manipur,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0
State,Mizoram,0,0,16929,112,0.7,1.7
State,Nagaland,0,0,0,0,0,0
State,Orissa,2122,0,1967,155,7.3,2.3
State,Punjab,418,68,212,138,33,2.1
State,Rajasthan,4260,4,4211,45,1.1,0.7
State,Sikkim,0,0,0,0,0,0
State,Tamil Nadu,4191,598,3012,581,13.9,8.7
State,Tripura,0,0,0,0,0,0
State,Uttar Pradesh,23022,1416,20804,802,3.5,12.1
State,Uttaranchal,241,43,147,51,21.2,0.8
State,West Bengal,11,2,4,5,45.5,0.1
State,Total (States),76223,3191,66402,6630,8.7,99.8
Union Territory,A & N Islands,0,0,0,0,0,0
Union Territory,Chandigarh,2,0,2,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0
Union Territory,Delhi,26,0,20,6,23.1,0.1
Union Territory,Lakshadweep,0,0,0,0,0,0
Union Territory,Puducherry,24,0,19,5,20.8,0.1
Union Territory,Total (UTs),52,0,41,11,21.2,0.2
Total (All-India),Total (All-India),76275,3191,66443,6641,8.7,100
