Category,States/ UTs,Total No. of Persons under Trial including those from Previous Year,Total No. of Persons whose - Cases Compounded or Withdrawn,Total No. of Persons whose - Trial Completed,Total No. of Persons whose - Trial Remained Pending,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All India Total
State,Andhra Pradesh,2085,53,538,1494,122,71.7,4.8
State,Arunachal Pradesh,102,0,0,102,0,100,0.3
State,Assam,16,0,7,9,2,56.3,0
State,Bihar,257,8,27,222,0,86.4,0.7
State,Chhattisgarh,3083,15,646,2422,252,78.6,7.8
State,Goa,0,0,0,0,0,0,0
State,Gujarat,4026,14,299,3713,16,92.2,12
State,Haryana,33,0,0,33,0,100,0.1
State,Himachal Pradesh,117,0,115,2,0,1.7,0
State,Jammu & Kashmir,7,0,0,7,0,100,0
State,Jharkhand,499,36,171,292,12,58.5,0.9
State,Karnataka,1893,6,154,1733,0,91.5,5.6
State,Kerala,1231,4,65,1162,3,94.4,3.7
State,Madhya Pradesh,10167,302,1932,7933,423,78,25.6
State,Maharashtra,4853,13,467,4373,16,90.1,14.1
State,Manipur,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0
State,Mizoram,74,8,34,32,26,43.2,0.1
State,Nagaland,257,2,29,226,28,87.9,0.7
State,Orissa,2510,19,302,2189,46,87.2,7.1
State,Punjab,0,0,0,0,0,0,0
State,Rajasthan,6121,282,1647,4192,539,68.5,13.5
State,Sikkim,9,0,5,4,4,44.4,0
State,Tamil Nadu,408,0,143,265,60,65,0.9
State,Tripura,0,0,0,0,0,0,0
State,Uttar Pradesh,788,12,270,506,132,64.2,1.6
State,Uttaranchal,71,0,3,68,3,95.8,0.2
State,West Bengal,10,0,0,10,0,100,0
State,Total (States),38617,774,6854,30989,1684,80.2,99.9
Union Territory,A & N Islands,3,0,2,1,2,33.3,0
Union Territory,Chandigarh,0,0,0,0,0,0,0
Union Territory,D & N Haveli,15,0,0,15,0,100,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0
Union Territory,Delhi,0,0,0,0,0,0,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0,0
Union Territory,Total (UTs),18,0,2,16,2,88.9,0.1
Total (All-India),Total (All-India),38635,774,6856,31005,1686,80.3,100
