Sr. No. (Col.1),Category (Col.2),States/ UTs (Col.3),Category of Complaints Received - Oral (Col.4),Category of Complaints Received - Written (Col.5),Category of Complaints Received - Distress call over Phone 100 (Col.6),Category of Complaints Received - Complaints Initiated Suo Moto by Police (Col.7),Category of Complaints Received - Total Complaints (Col.4 to Col.7) = (Col.8),No. of Cases Registered under - IPC (Col.9),No. of Cases Registered under - SLL (Col.10),Total (Col.9) + (Col.10) = (Col.11)
1,State,Andhra Pradesh,99729,235704,14885,47961,398279,143610,506354,649964
2,State,Arunachal Pradesh,0,2248,0,32,2280,2228,52,2280
3,State,Assam,122,38176,15,406,38719,36346,2373,38719
4,State,Bihar,5105,94366,7,3014,102492,94040,8674,102714
5,State,Chhattisgarh,105848,54492,5243,13029,178612,37950,140343,178293
6,State,Goa,994,797,0,649,2440,2440,1992,4432
7,State,Gujarat,93699,75565,5948,48844,224056,106675,157027,263702
8,State,Haryana,328,70647,21,9256,80252,40152,27915,68067
9,State,Himachal Pradesh,4027,10546,0,1334,15907,12243,4165,16408
10,State,Jammu & Kashmir,2853,13648,61,6279,22841,19967,2874,22841
11,State,Jharkhand,5483,18806,0,592,24881,31439,1735,33174
12,State,Karnataka,30602,87985,1249,11846,131682,113699,17983,131682
13,State,Kerala,670302,102765,13322,29809,816198,104200,34954,139154
14,State,Madhya Pradesh,120459,94554,184,32537,247734,191799,204479,396278
15,State,Maharashtra,152081,368631,3801,210423,734936,165462,192768,358230
16,State,Manipur,0,2474,1,938,3413,2584,829,3413
17,State,Meghalaya,145,1672,0,107,1924,1664,98,1762
18,State,Mizoram,0,3572,0,445,4017,2820,1196,4016
19,State,Nagaland,11,1404,0,185,1600,1114,528,1642
20,State,Orissa,1526,50163,0,7169,58858,47728,11130,58858
21,State,Punjab,2696,149358,605,1214,153873,28794,26111,54905
22,State,Rajasthan,19608,138215,0,27876,185699,151248,34451,185699
23,State,Sikkim,180,351,120,50,701,485,126,611
24,State,Tamil Nadu,109251,194648,1552,432499,737950,166942,571008,737950
25,State,Tripura,335,2546,0,194,3075,3075,71,3146
26,State,Uttar Pradesh,9062,242913,16,468676,720667,146037,574630,720667
27,State,Uttaranchal,108,11971,866,38785,51730,7976,43754,51730
28,State,West Bengal,1649886,246652,142919,2826204,4865661,58962,1158861,1217823
State,State,Total (States),3084440,2314869,190815,4220353,9810477,1721679,3726481,5448160
29,Union Territory,A & N Islands,2879,598,0,781,4258,608,4316,4924
30,Union Territory,Chandigarh,0,10583,15702,13,26298,3806,740,4546
31,Union Territory,D & N Haveli,0,5,0,0,5,349,16,365
32,Union Territory,Daman & Diu,171,95,0,0,266,261,9,270
33,Union Territory,Delhi,22376,120835,264926,33080,441217,49137,18272,67409
34,Union Territory,Lakshadweep,0,47,0,10,57,53,4,57
35,Union Territory,Pondicherry,2013,3183,0,245,5441,4437,1004,5441
Union Territory,Union Territory,Total (UTs),27439,135346,280628,34129,477542,58651,24361,83012
Total (All-India),Total (All-India),Total (All-India),3111879,2450215,471443,4254482,10288019,1780330,3750842,5531172
