Year,Estimated Mid-Year Population (in Lakhs)**,Incidence - IPC,Incidence - SLL,Incidence - Total,Rate - IPC,Rate - SLL,Rate - Total,Percentage of IPC Crimes to Total Cognizable Crimes,Note of Incidence - SLL
1992,8677,1689341,3558448,5247789,194.7,410.1,604.8,32.2,NA
1993,8838,1629936,3803638,5433574,184.4,430.4,614.8,30,NA
1994,9000,1635251,3876994,5512245,181.7,430.8,612.5,29.7,NA
1995,9160,1695696,4297476,5993172,185.1,469.2,654.3,28.3,NA
1996,9319,1709576,4586986,6296562,183.4,492.2,675.6,27.2,NA
1997,9552,1719820,4691439,6411259,180,491.1,671.2,26.8,NA
1998,9709,1778815,4403288,6182103,183.2,453.5,636.7,28.8,NA
1999,9866,1764629,3147101,4911730,178.9,319,497.8,35.9,NA
2000,10021,1771084,3396666,5167750,176.7,338.9,515.7,34.3,NA
2001,10270,1769308,3575230,5344538,172.3,348.1,520.4,33.1,#
2002,10506,1780330,3750842,5531172,169.5,357,526.5,32.2,NA
Percentage Change in 2002 over 1992,21.1,5.4,5.4,5.4,-13,-12.9,-13,0,NA
Compound Growth Rate Per Annum,1.9,0.9,-0.9,-0.4,-1,-2.8,-2.2,1.2,NA
