Category,States/ UTs,Unidentified Bodies Recovered and Inquest Conducted
State,Andhra Pradesh,4097
State,Arunachal Pradesh,10
State,Assam,102
State,Bihar,1753
State,Chhattisgarh,77
State,Goa,192
State,Gujarat,1098
State,Haryana,266
State,Himachal Pradesh,70
State,Jammu & Kashmir,367
State,Jharkhand,38
State,Karnataka,2050
State,Kerala,121
State,Madhya Pradesh,905
State,Maharashtra,12841
State,Manipur,0
State,Meghalaya,21
State,Mizoram,0
State,Nagaland,0
State,Orissa,27
State,Punjab,1187
State,Rajasthan,897
State,Sikkim,0
State,Tamil Nadu,708
State,Tripura,3
State,Uttar Pradesh,4081
State,Uttaranchal,167
State,West Bengal,3474
State,Total (States),34552
Union Territory,A & N Islands,0
Union Territory,Chandigarh,20
Union Territory,D & N Haveli,0
Union Territory,Daman & Diu,17
Union Territory,Delhi,3047
Union Territory,Lakshadweep,0
Union Territory,Puducherry,63
Union Territory,Total (UTs),3147
Total (All-India),Total (All-India),37699
