Sr. No. (Col 1),Category (Col 2),States/ UTs (Col 3),No. of Police Personnel died due to Natural Death while in Service - 18-25 Years (Col 4),No. of Police Personnel died due to Natural Death while in Service - 25-35 Years (Col 5),No. of Police Personnel died due to Natural Death while in Service - 35-45 Years (Col 6),No. of Police Personnel died due to Natural Death while in Service - 45-55 Years (Col 7),No. of Police Personnel died due to Natural Death while in Service - Above 55 Years (Col 8),No. of Police Personnel died due to Natural Death while in Service - Total (Col 4 to Col 8) = (Col 9),No. of Police Personnel Committed Suicide while in Service - 18-25 Years (Col 10),No. of Police Personnel Committed Suicide while in Service - 25-35 Years (Col 11),No. of Police Personnel Committed Suicide while in Service - 35-45 Years (Col 12),No. of Police Personnel Committed Suicide while in Service - 45-55 Years (Col 13),No. of Police Personnel Committed Suicide while in Service - Above 55 Years (Col 14),No. of Police Personnel Committed Suicide while in Service - Total (Col 10 to Col 14) = Col 15
1,State,Andhra Pradesh,3,30,55,110,14,212,1,1,2,0,0,4
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,0,6,4,24,11,45,0,0,0,0,0,0
4,State,Bihar,0,4,10,35,6,55,0,0,1,0,0,1
5,State,Chhattisgarh,0,3,14,3,0,20,0,1,2,0,0,3
6,State,Goa,0,1,8,0,1,10,0,0,0,0,0,0
7,State,Gujarat,0,13,46,39,6,104,0,2,1,1,0,4
8,State,Haryana,0,9,19,37,1,66,1,3,1,0,0,5
9,State,Himachal Pradesh,2,1,3,5,4,15,2,0,2,2,3,9
10,State,Jammu & Kashmir,0,3,4,9,3,19,0,1,2,0,0,3
11,State,Jharkhand,2,6,11,11,1,31,0,0,0,0,0,0
12,State,Karnataka,1,22,28,59,8,118,0,1,7,4,0,12
13,State,Kerala,0,5,13,34,0,52,0,1,4,8,0,13
14,State,Madhya Pradesh,0,13,38,48,20,119,0,2,3,5,0,10
15,State,Maharashtra,4,66,143,128,50,391,0,20,15,7,1,43
16,State,Manipur,2,3,7,6,0,18,0,0,0,0,0,0
17,State,Meghalaya,2,0,0,4,0,6,0,0,0,0,0,0
18,State,Mizoram,0,1,3,4,0,8,0,0,0,0,0,0
19,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
20,State,Orissa,0,5,8,7,4,24,0,0,0,0,0,0
21,State,Punjab,4,27,39,37,3,110,0,0,1,0,0,1
22,State,Rajasthan,1,17,19,21,5,63,0,2,1,1,1,5
23,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
24,State,Tamil Nadu,0,22,70,108,45,245,0,4,2,0,0,6
25,State,Tripura,0,0,6,15,8,29,0,0,1,1,0,2
26,State,Uttar Pradesh,1,7,42,33,9,92,0,1,1,3,1,6
27,State,Uttaranchal,0,3,11,13,5,32,0,0,0,0,0,0
28,State,West Bengal,2,4,25,22,6,59,0,1,2,3,1,7
State,State,Total (States),24,271,626,812,210,1943,4,40,48,35,7,134
29,Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0
30,Union Territory,Chandigarh,0,1,3,6,1,11,0,0,0,0,0,0
31,Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,1,9,14,13,4,41,0,2,1,0,0,3
34,Union Territory,Lakshadweep,0,0,0,0,1,1,0,0,0,0,0,0
35,Union Territory,Puducherry,0,0,3,1,4,8,0,0,0,0,0,0
Union Territory,Union Territory,Total (UTs),1,10,20,20,10,61,0,2,1,0,0,3
Total (All-India),Total (All-India),Total (All-India),25,281,646,832,220,2004,4,42,49,35,7,137
