Category,States/ UTs,Total No. of Persons under Trial Including those from Previous Year,Total No. of Persons whose - Cases Compounded or Withdrawn,Total No. of Persons whose - Trial Completed,Total No. of Persons whose - Trial Remained Pending,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All India Total
State,Andhra Pradesh,712,0,124,588,23,82.6,1.7
State,Arunachal Pradesh,1,0,0,1,0,100,0
State,Assam,14,0,1,13,1,92.9,0
State,Bihar,198,0,16,182,2,91.9,0.5
State,Chhattisgarh,2431,0,399,2032,282,83.6,6
State,Goa,98,2,19,77,9,78.6,0.2
State,Gujarat,2217,2,147,2068,55,93.3,6.1
State,Haryana,681,0,211,470,45,69,1.4
State,Himachal Pradesh,271,1,77,193,12,71.2,0.6
State,Jammu & Kashmir,47,0,1,46,0,97.9,0.1
State,Jharkhand,184,6,28,150,16,81.5,0.4
State,Karnataka,174,0,45,129,1,74.1,0.4
State,Kerala,704,4,40,660,8,93.8,2
State,Madhya Pradesh,5295,185,1127,3983,406,75.2,11.8
State,Maharashtra,6804,11,619,6174,82,90.7,18.3
State,Manipur,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0
State,Orissa,265,0,14,251,3,94.7,0.7
State,Punjab,337,0,101,236,28,70,0.7
State,Rajasthan,569,2,180,387,71,68,1.1
State,Sikkim,9,0,1,8,1,88.9,0
State,Tamil Nadu,212,3,92,117,60,55.2,0.3
State,Tripura,0,0,0,0,0,0,0
State,Uttar Pradesh,18059,29,3323,14707,1921,81.4,43.6
State,Uttaranchal,218,0,70,148,50,67.9,0.4
State,West Bengal,183,22,55,106,14,57.9,0.3
State,Total (States),39683,267,6690,32726,3090,82.5,97
Union Territory,A & N Islands,14,0,0,14,0,100,0
Union Territory,Chandigarh,144,0,29,115,14,79.9,0.3
Union Territory,D & N Haveli,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0
Union Territory,Delhi,967,0,111,856,22,88.5,2.5
Union Territory,Lakshadweep,2,0,2,0,2,0,0
Union Territory,Puducherry,17,0,7,10,3,58.8,0
Union Territory,Total (UTs),1144,0,149,995,41,87,3
Total (All-India),Total (All-India),40827,267,6839,33721,3131,82.6,100
