Year,Incidence of - Juvenile Crimes,Incidence of - Total Cognizable Crimes,Percentage of Juvenile Crimes to Total Crimes,Estimated Mid-Year Population * (In Lakh),Rate (Incidence of Crime Per Lakh of Population)
1992,11100,1689341,0.7,8677,1.3
1993,9465,1629936,0.6,8838,1.1
1994,8561,1635251,0.5,8999,1
1995,9766,1695696,0.6,9160,1.1
1996,10024,1709576,0.6,9319,1.1
1997,7909,1719820,0.5,9552,0.8
1998,9352,1778815,0.5,9709,1
1999,8888,1764629,0.5,9866,0.9
2000,9267,1771084,0.5,10021,0.9
2001,16509,1769308,0.9,10270,1.6
2002,18560,1780330,1,10506,1.8
