Category,States/ UTs/ Cities,Cases Registered - IT Act,Cases Registered - IPC Section
State,Andhra Pradesh,8,253
State,Arunachal Pradesh,0,0
State,Assam,2,0
State,Bihar,0,0
State,Chhattisgarh,0,0
State,Goa,4,4
State,Gujarat,1,249
State,Haryana,2,0
State,Himachal Pradesh,0,99
State,Jammu & Kashmir,1,0
State,Jharkhand,0,0
State,Karnataka,15,0
State,Kerala,3,1
State,Madhya Pradesh,0,0
State,Maharashtra,12,1
State,Manipur,0,0
State,Meghalaya,0,0
State,Mizoram,0,0
State,Nagaland,0,0
State,Orissa,4,0
State,Punjab,3,26
State,Rajasthan,0,0
State,Sikkim,0,0
State,Tamil Nadu,3,0
State,Tripura,0,0
State,Uttar Pradesh,5,81
State,Uttaranchal,0,0
State,West Bengal,0,0
State,Total (States),63,714
Union Territory,A & N Islands,0,15
Union Territory,Chandigarh,2,0
Union Territory,D & N Haveli,0,0
Union Territory,Daman & Diu,0,7
Union Territory,Delhi,5,2
Union Territory,Lakshadweep,0,0
Union Territory,Puducherry,0,0
Union Territory,Total (UTs),7,24
Total (All-India),Total (All-India),70,738
City,Agra,0,0
City,Ahmedabad,1,1
City,Allahabad,0,0
City,Amritsar,1,2
City,Asansol,0,0
City,Bangalore,15,0
City,Bhopal,1,1
City,Chennai,2,0
City,Coimbatore,0,0
City,Delhi (City),5,2
City,Dhanbad,0,0
City,Faridabad,0,0
City,Hyderabad,5,5
City,Indore,0,0
City,Jabalpur,0,0
City,Jaipur,0,0
City,Jamshedpur,0,0
City,Kanpur,4,0
City,Kochi,0,0
City,Kolkata,0,0
City,Lucknow,0,0
City,Ludhiana,0,0
City,Madurai,0,0
City,Meerut,0,0
City,Mumbai,5,0
City,Nagpur,1,0
City,Nasik,0,0
City,Patna,0,0
City,Pune,4,0
City,Rajkot,0,0
City,Surat,0,96
City,Vadodara,0,0
City,Varanasi,0,0
City,Vijayawada,0,0
City,Vishakhapatnam,0,1
Total (Cities),Total (Cities),44,108
