Year,7-12 Years,Percentage to Total,12-16 Years,Percentage to Total,16-18 Years,Percentage to Total,Overall Age Groups
1992,3435,16.1,14793,69.3,3130,14.7,21358
1993,3929,19.6,13437,67,2701,13.5,20067
1994,3694,21.5,11053,64.3,2456,14.3,17203
1995,3490,18.3,11378,59.6,3403,18.1,18793
1996,3490,18.3,11378,59.6,4230,22.1,19098
1997,2747,15.4,12171,68.4,2878,16.2,17796
1998,3336,17.6,11548,61,4039,21.3,18923
1999,4039,21.9,10311,55.9,4110,22.3,18460
2000,3292,18.3,11389,63.3,3301,18.4,17982
2001,3696,11,12729,37.9,17203,51.2,33628
2002,4488,12.5,13864,38.7,17427,48.7,35779
Percentage Change in 2002 over 1992,30.7,NA,-6.3,NA,456.8,NA,67.5
Percentage Change in 2002 over 2001,21.4,NA,8.9,NA,1.3,NA,6.4
