Category,States/ UTs,Total No. of Persons under Trial Including those from Previous Year,Total No. of Persons whose - Cases Compounded or Withdrawn,Total No. of Persons whose - Trial Completed,Total No. of Persons whose - Trial Remained Pending,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All India Total
State,Andhra Pradesh,11315,211,2980,8124,655,71.8,4
State,Arunachal Pradesh,0,0,0,0,0,0,0
State,Assam,13,0,2,11,0,84.6,0
State,Bihar,6736,58,1156,5522,267,82,2.7
State,Chhattisgarh,3244,33,729,2482,299,76.5,1.2
State,Goa,1,0,0,1,0,100,0
State,Gujarat,17216,86,1524,15606,34,90.6,7.6
State,Haryana,1184,0,204,980,17,82.8,0.5
State,Himachal Pradesh,870,12,99,759,9,87.2,0.4
State,Jammu & Kashmir,30,2,0,28,0,93.3,0
State,Jharkhand,411,14,128,269,24,65.5,0.1
State,Karnataka,18607,132,3564,14911,50,80.1,7.3
State,Kerala,4345,139,251,3955,31,91,1.9
State,Madhya Pradesh,31916,787,6592,24537,1894,76.9,12
State,Maharashtra,19144,19,1336,17789,59,92.9,8.7
State,Manipur,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0
State,Orissa,8624,45,1092,7487,138,86.8,3.7
State,Punjab,456,0,87,369,10,80.9,0.2
State,Rajasthan,22275,383,5022,16870,1545,75.7,8.3
State,Sikkim,0,0,0,0,0,0,0
State,Tamil Nadu,11324,41,3378,7905,1084,69.8,3.9
State,Tripura,0,0,0,0,0,0,0
State,Uttar Pradesh,98252,1725,20865,75662,10286,77,37.1
State,Uttarakhand,761,0,102,659,45,86.6,0.3
State,West Bengal,31,5,16,10,0,32.3,0
State,Total (States),256755,3692,49127,203936,16447,79.4,99.9
Union Territory,A & N Islands,0,0,0,0,0,0,0
Union Territory,Chandigarh,6,0,0,6,0,100,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0
Union Territory,Delhi,103,0,2,101,2,98.1,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0
Union Territory,Puducherry,149,0,34,115,1,77.2,0.1
Union Territory,Total (UTs),258,0,36,222,3,86,0.1
Total (All-India),Total (All-India),257013,3692,49163,204158,16450,79.4,100
