Category,States/ UTs,Motives - Revenge/ Settling scores,Motives - Greed/ Money,Motives - Extortion,Motives - Cause Disrepute,Motives - Prank/ Satisfaction of Gaining Control,Motives - Fraud/ Illegal Gain,Motives - Eve Teasing/ Harassment,Motives - Others,Motives - Total,Suspects - Foreign National/ Group,Suspects - Disgrunted Employee/ Employee,Suspects - Cracker/ Student/ Professional learners,Suspects - Business Competitor,Suspects - Neighbours/ Friends & Relatives,Suspects - Others,Suspects - Total
State,Andhra Pradesh,1,4,2,0,44,6,2,3,62,0,1,1,4,1,0,7
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2
State,Bihar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Chhattisgarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Goa,0,1,0,0,0,3,0,2,6,0,0,0,0,0,6,6
State,Gujarat,0,2,0,0,0,10,0,238,250,0,0,0,0,0,250,250
State,Haryana,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
State,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jammu & Kashmir,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
State,Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Kerala,1,1,0,1,0,0,0,0,3,0,1,0,0,1,0,2
State,Madhya Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Maharashtra,1,1,0,0,3,2,5,1,13,0,4,4,0,0,4,12
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0
State,Punjab,0,2,0,0,0,7,2,10,21,0,0,0,0,1,7,8
State,Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,0,4,0,0,0,0,0,1,5,0,0,0,4,0,1,5
State,Uttaranchal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Total (States),3,20,2,1,47,28,9,261,371,0,6,5,8,3,270,292
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,1,1,0,2,0,0,1,1,0,0,2
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
Union Territory,Delhi,1,0,0,0,0,1,1,0,3,0,1,0,0,0,1,2
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),1,0,0,0,0,4,2,0,7,0,1,1,1,0,1,4
Total (All-India),Total (All-India),4,20,2,1,47,32,11,261,378,0,7,6,9,3,271,296
