Sr. No. (Col. 1),Crime Head (Col. 2),Cases Withdrawn by Govt. (Col. 3),Percentage of Cases to Total Cases for Investigation in which - Investigation was Refused (Col. 4),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Charge Found False/ Mistake of Fact or Law etc. (Col. 5),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Final Report True Submitted (Col. 6),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Charge Sheets were Submitted (Col. 7),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Total (Col. 5 + Col. 6 + Col. 7) = (Col. 8),Percentage of Cases Pending Investigation (Col. 9),Charge Sheeting Rate {(Col. 7)/ (Col. 6 + Col. 7)} × 100 = (Col. 10)
1,Murder,0,0,4.3,2.5,80.8,87.6,12.4,97
2,Rape,0,0.3,8.3,1.9,74.1,84.3,15.4,97.5
3,Kidnapping & Abduction,0,0.3,13.6,9.7,66.5,89.8,10,87.2
4,Dacoity,0,0,5.3,15.8,57.9,78.9,21.1,78.6
5,Robbery,0,0,11.8,19.3,66.4,97.5,2.5,77.5
6,Arson,0,0.3,13.5,9,68.7,91.2,8.5,88.4
7,Hurt,0.2,0.2,7.5,3.9,74.4,85.8,13.8,95
8,P.C.R. Act,0,0.8,13.3,1.3,60.5,75.1,24.1,97.9
9,SC/ ST Prev. of Atrocities Act,0.1,0.2,17.9,4.7,60.8,83.4,16.3,92.8
10,Other Crimes against SCs,0,0.2,12.3,3.8,74.6,90.7,9.1,95.2
11,Total,0.1,0.2,13.2,4.1,69.4,86.8,12.9,94.4
