Crime Head,Incidence - 1992,Rate of Crime - 1992,Incidence - 1997,Rate of Crime - 1997,Incidence - 1998,Rate of Crime - 1998,Incidence - 1999,Rate of Crime - 1999,Incidence - 2000,Rate of Crime - 2000,Incidence - 2001,Rate of Crime - 2001,Incidence - Quinquennial Average (1997-2001) (Q.A),Rate of Crime Quinquennial Average (1997-2001) (Q.A),Incidence - 2002,Rate of Crime - 2002,Percentage Change in 2002 [(+) Increase/ (-) Decrease] over - 1992,Percentage Change in 2004 [(+) Increase/ (-) Decrease] over - Q.A,Percentage Change in 2004 [(+) Increase/ (-) Decrease] over - 2001,Note of Incidence - 1992,Note of Rate of Crime - 1992,Note of Incidence - 1997,Note of Rate of Crime - 1997,Note of Incidence - 1998,Note of Rate of Crime - 1998,Note of Incidence - 1999,Note of Rate of Crime - 1999,Note of Incidence - 2000,Note of Rate of Crime - 2000
Arms Act,63893,7.4,74109,7.8,63566,6.5,60607,6.1,60347,6,59960,5.8,63718,6.4,64383,6.1,0.8,1,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Narcotic Drugs & Psychotropic Substances Act,22478,2.6,21527,2.3,18270,1.9,20132,2,22739,2.3,24377,2.4,21409,2.2,25279,2.4,12.5,18.1,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambling Act,167193,19.3,119107,12.5,112303,11.6,116516,11.8,140959,14.1,151497,14.8,128076,13,175001,16.7,4.7,36.6,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Excise Act,95108,11,169061,17.7,113102,11.6,106662,10.8,118811,11.9,116247,11.3,124777,12.7,125062,11.9,31.5,0.2,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prohibition Act,627426,72.3,529703,55.5,540160,55.6,547386,55.5,537536,53.6,509077,49.6,532772,54,488189,46.5,-22.2,-8.4,-4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Explosive & Explosive Substances Act,8899,1,5140,0.5,4923,0.5,4399,0.4,4759,0.5,4529,0.4,4750,0.5,4634,0.4,-47.9,-2.4,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Immoral Traffic (P) Act,12580,1.4,8323,0.9,8695,0.9,9363,0.9,9515,0.9,8796,0.9,8938,0.9,11242,1.1,-10.6,25.8,27.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indian Railways Act,26548,3.1,41469,4.3,40111,4.1,36099,3.7,44406,4.4,64373,6.3,45292,4.6,55697,5.3,109.8,23,-13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Registration of Foreigners Act,1996,0.2,1440,0.2,1230,0.1,1587,0.2,1434,0.1,1438,0.1,1426,0.1,1754,0.2,-12.1,23,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Protection of Civil Rights Act - Total,4380,0.5,1460,0.2,1219,0.1,996,0.1,810,0.1,691,0.1,1035,0.1,1065,0.1,-75.7,2.9,54.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Protection of Civil Rights Act - i) PCR Act for SCs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,633,0.1,127,0,1018,0.1,NA,704.1,60.8,*,*,*,*,*,*,*,*,*,*
Protection of Civil Rights Act - ii) PCR Act for STs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,0,12,0,47,0,NA,305.2,-19,*,*,*,*,*,*,*,*,*,*
Indian Passport Act,1169,0.1,440,0,396,0,472,0,309,0,390,0,401,0,693,0.1,-40.7,72.6,77.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Essential Commodities Act,7292,0.8,5678,0.6,5675,0.6,5639,0.6,4872,0.5,4279,0.4,5229,0.5,3593,0.3,-50.7,-31.3,-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terrorist & Disruptive Activities Act,4093,0.5,16,0,0,0,0,0,12,0,0,0,6,0,65,0,-98.4,1060.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antiquity & Art Treasure Act,40,0,28,0,38,0,16,0,38,0,40,0,32,0,77,0,92.5,140.6,92.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dowry Prohibition Act,2102,0.2,2685,0.3,3578,0.4,3064,0.3,2876,0.3,3222,0.3,3085,0.3,2816,0.3,34,-8.7,-12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Child Marriage Restraint Act,NA,NA,78,0,56,0,58,0,92,0,85,0,74,0,113,0,NA,53.1,32.9,*,*,NA,NA,NA,NA,NA,NA,NA,NA
Indecent Representation of Women (P) Act,NA,NA,73,0,190,0,222,0,662,0.1,1052,0.1,440,0,2508,0.2,NA,470.3,138.4,*,*,NA,NA,NA,NA,NA,NA,NA,NA
Copyrights Act,NA,NA,941,0.1,1444,0.1,1980,0.2,2364,0.2,2868,0.3,1919,0.2,4035,0.4,NA,110.2,40.7,*,*,NA,NA,NA,NA,NA,NA,NA,NA
Sati Prevention Act,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,-100,0,*,*,NA,NA,NA,NA,NA,NA,NA,NA
