Crime Head,Male,Female,Total,Percentage to Total - Male,Percentage to Total - Female
Murder,71438,3589,75027,95.2,4.8
Attempt to Commit Murder,75587,2225,77812,97.1,2.9
C.H. not Amounting to Murder,6925,142,7067,98,2
Rape - Total,20780,456,21236,97.9,2.1
Rape - (i) Custodial Rape,0,0,0,0,0
Rape - (ii) Other Rape,20780,456,21236,97.9,2.1
Kidnapping & Abduction - Total,28975,1753,30728,94.3,5.7
Kidnapping & Abduction - i) of Women & Girls,16867,1354,18221,92.6,7.4
Kidnapping & Abduction - ii) of Others,12108,399,12507,96.8,3.2
Dacoity,23303,174,23477,99.3,0.7
Preparation & Assembly for Dacoity,8061,2,8063,100,0
Robbery,27437,140,27577,99.5,0.5
Burglary,63478,1200,64678,98.1,1.9
Theft - Total,158524,4951,163475,97,3
Theft - (i) Auto Theft,30227,229,30456,99.2,0.8
Theft - (ii) Other Theft,128297,4722,133019,96.5,3.5
Riots,355577,19422,374999,94.8,5.2
Criminal Breach of Trust,15033,478,15511,96.9,3.1
Cheating,43890,1786,45676,96.1,3.9
Counterfeiting,2197,69,2266,97,3
Arson,17902,315,18217,98.3,1.7
Hurt,451234,30910,482144,93.6,6.4
Dowry Death,14021,4325,18346,76.4,23.6
Molestation,42493,668,43161,98.5,1.5
Sexual Harassment,12540,158,12698,98.8,1.2
Cruelty by Husband and Relatives,87472,25484,112956,77.4,22.6
Importation of Girls,89,12,101,88.1,11.9
Causing Death by Negligence,57386,165,57551,99.7,0.3
Other IPC Crimes,965893,47884,1013777,95.3,4.7
Total Cognizable Crimes under IPC,2550235,146308,2696543,94.6,5.4
