Category,States/ UTs,Below 18 Years,Between 18 - 30 Years,Between 30 - 45 Years,Between 45 - 60 Years,Above 60 Years,Total
State,Andhra Pradesh,0,2,3,0,0,5
State,Arunachal Pradesh,0,0,0,0,0,0
State,Assam,0,2,0,0,0,2
State,Bihar,0,0,0,0,0,0
State,Chhattisgarh,0,0,0,0,0,0
State,Goa,0,0,0,0,0,0
State,Gujarat,0,0,0,0,0,0
State,Haryana,0,1,0,0,0,1
State,Himachal Pradesh,0,0,0,0,0,0
State,Jammu & Kashmir,0,1,0,0,0,1
State,Jharkhand,0,0,0,0,0,0
State,Karnataka,0,11,3,0,0,14
State,Kerala,0,1,0,1,0,2
State,Madhya Pradesh,0,0,0,0,0,0
State,Maharashtra,0,8,2,0,0,10
State,Manipur,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0
State,Orissa,0,4,1,0,0,5
State,Punjab,1,0,3,2,0,6
State,Rajasthan,0,0,0,0,0,0
State,Sikkim,0,0,0,0,0,0
State,Tamil Nadu,0,1,1,0,0,2
State,Tripura,0,0,0,0,0,0
State,Uttar Pradesh,0,11,0,0,1,12
State,Uttaranchal,0,0,0,0,0,0
State,West Bengal,0,0,0,0,0,0
State,Total (States),1,42,13,3,1,60
Union Territory,A & N Islands,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0
Union Territory,Delhi,0,4,1,0,0,5
Union Territory,Lakshadweep,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0
Union Territory,Total (UTs),0,4,1,0,0,5
Total (All-India),Total (All-India),1,46,14,3,1,65
