Category,States/ UTs,Number of Death Reported,Number of Autopsy Conducted,Number of Magisterial Enquiry Ordered/ Conducted,Number of Judicial Enquiry Ordered/ Conducted,Number of Cases Regd. in Connection with Deaths,Number of Policemen Charge Sheeted,Number of Policemen Convicted
State,Andhra Pradesh,6,6,5,1,3,0,0
State,Arunachal Pradesh,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0
State,Bihar,0,0,0,0,0,0,0
State,Chhattisgarh,0,0,0,0,0,0,0
State,Goa,0,0,0,0,0,0,0
State,Gujarat,2,1,2,0,0,0,0
State,Haryana,3,1,2,1,3,13,0
State,Himachal Pradesh,0,0,0,0,0,0,0
State,Jammu & Kashmir,0,0,0,0,0,0,0
State,Jharkhand,0,0,0,0,0,0,0
State,Karnataka,1,1,0,0,1,0,0
State,Kerala,0,0,0,0,0,0,0
State,Madhya Pradesh,0,0,0,0,0,0,0
State,Maharashtra,11,11,6,0,2,4,0
State,Manipur,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0
State,Orissa,0,0,0,0,0,0,0
State,Punjab,1,1,1,0,0,0,0
State,Rajasthan,4,4,3,0,4,14,0
State,Sikkim,0,0,0,0,0,0,0
State,Tamil Nadu,6,6,6,0,0,0,0
State,Tripura,1,1,1,0,1,0,0
State,Uttar Pradesh,3,2,2,0,1,0,0
State,Uttaranchal,0,0,0,0,0,0,0
State,West Bengal,15,15,15,0,0,0,0
State,Total (States),53,49,43,2,15,31,0
Union Territory,A & N Islands,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0
Union Territory,Delhi,0,0,0,0,0,0,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0,0
Union Territory,Total (UTs),0,0,0,0,0,0,0
Total (All-India),Total (All-India),53,49,43,2,15,31,0
