Sr. No. (Col. 1),Crime Head (Col. 2),Cases Withdrawn by Govt. (Col. 3),Percentage of Cases to Total Cases for Trial - Compounded or Withdrawn (Col. 4),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Convicted (Col. 5),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Acquitted or Discharged (Col. 6),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Total (Col. 7) = {(Col. 5) + (Col. 6)},Percentage of Cases to Total Cases for Trial - Pending Trial (Col. 8),Conviction Rate (Col. 9) = {(Col. 5)/ (Col. 7) × 100}
1,Arms Act,0,0.1,10.2,7,17.3,82.7,59.4
2,Narcotic Drugs & Psychotropic Substances Act,0.1,0.2,10.6,8.1,18.8,81.1,56.6
3,Gambling Act,0,0.3,32.8,5.7,38.6,61.1,85.2
4,Excise Act,0,0.2,18.2,7,25.2,74.6,72.2
5,Prohibition Act,0,1.6,9,9.7,18.7,79.7,48.1
6,Explosive & Explosive Substances Act,0.1,0.1,10.3,6.7,17,82.8,60.7
7,Immoral Traffic (P) Act,0,27.8,33,2.8,35.8,36.5,92.2
8,Indian Railways Act,0,0.2,60.9,0.9,61.7,38.1,98.6
9,Registration of Foreigners Act,0,0,30.5,3.4,33.9,66,90
10,Protection of Civil Rights Act - Total,0,0.3,3.2,14,17.2,82.5,18.5
10,Protection of Civil Rights Act - i) PCR Act for SCs,0,0.3,3.5,14.3,17.9,81.9,19.7
10,Protection of Civil Rights Act - ii) PCR Act for STs,0,0.4,0,11.1,0,88.5,0
11,Indian Passport Act,0,0.9,10.1,9.1,19.1,79.9,52.7
12,Essential Commodities Act,0.1,0.6,2.2,8.1,10.3,89.1,21.4
13,Terrorist & Disruptive Activities Act,0.2,0,0.4,2.1,2.6,97.4,17.2
14,Antiquity & Art Treasure Act,0,6.2,2.3,6.9,9.2,84.6,25
15,Dowry Prohibition Act,0.1,1.5,5.2,13,18.2,80.3,28.8
16,Child Marriage Restraint Act,0,0,9.4,4.2,13.6,86.4,69.4
17,Indecent Representation of Women (P) Act,0,0,75.1,3.2,78.3,21.7,96
18,Copyrights Act,0,0.2,7.6,7,14.6,85.2,52.1
19,Sati Prevention Act,0,0,0,0,0,0,0
20,SC/ ST (Prevention of Atrocities) Act - Total,0,1.1,5,10.9,15.9,83.1,31.4
20,SC/ ST (Prevention of Atrocities) Act - i) Atrocities Act for SCs,0,1,4.8,10.9,15.6,83.4,30.5
20,SC/ ST (Prevention of Atrocities) Act - ii) Atrocities Act for STs,0,1.4,6.4,11.1,17.5,81.1,36.7
21,Forest Act,0,0.1,18.5,6.3,24.8,75.1,74.6
22,Other SLL Crimes,0,13,54.4,2.8,57.3,29.7,95.1
Total Cognizable Crimes under SLL,Total Cognizable Crimes under SLL,0,7.1,34.3,5.6,39.9,53,86
