Category,States/ UTs,Arms Act,Narcotic Drugs & Psychotropic Substances Act,Gambling Act,Excise Act,Prohibition Act,Explosive & Explosive Substances Act,Immoral Traffic (Prevention Act),Indian Railways Act,Registration of Foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act - For SCs,Protection of Civil Rights Act - For STs,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Activities Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Representation of Women (P) Act,Copyright Act,Sati Prevention Act,SC/ ST (Prevention of Atrocities) Act - Total,SC/ ST (Prevention of Atrocities) Act - For SCs,SC/ ST (Prevention of Atrocities) Act - For STs,Forest Act,Other SLL Crimes,Total Cognizable Crimes under SLL
State,Andhra Pradesh,2,1,26,6,49,2,32,0,0,1,1,0,0,0,0,0,0,0,139,0,0,0,0,0,0,360,618
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Bihar,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7
State,Chhattisgarh,11,2,55,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,94
State,Goa,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
State,Gujarat,1,0,99,0,472,1,3,24,4,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,263,873
State,Haryana,32,20,142,329,0,1,2,20,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,24,574
State,Himachal Pradesh,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jharkhand,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,7
State,Karnataka,0,0,4,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12
State,Kerala,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,17
State,Madhya Pradesh,54,6,145,103,0,1,0,18,0,4,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,37,371
State,Maharashtra,6,0,161,0,249,2,1,16,0,0,0,0,1,2,0,0,0,1,0,3,0,2,2,0,0,204,648
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
State,Mizoram,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11
State,Nagaland,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
State,Orissa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
State,Punjab,3,4,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,20
State,Rajasthan,12,6,25,31,0,0,4,2,0,0,0,0,0,1,0,0,0,0,0,3,0,20,18,2,0,39,143
State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,1,5,8,0,148,0,2,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,5262,5437
State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,18
State,Uttaranchal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27
State,West Bengal,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
State,Total (States),131,50,670,497,930,10,49,81,6,5,5,0,10,3,0,0,3,2,139,12,0,38,36,2,0,6259,8895
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,31,6,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,83
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),31,6,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,86
Total (All-India),Total (All-India),162,56,675,526,930,10,49,81,6,5,5,0,10,3,0,0,3,2,139,12,0,38,36,2,0,6274,8981
