Category,States/UTs,Incidence,Percentage Contribution to All India Total,Estimated Mid-Year Population (In Lakhs),Rate of Total Cognizable Crimes,Rank per Rate of Total Cognizable Crimes,Rank per Percentage Share
State,Andhra Pradesh,3385,10.1,769.15,4.4,4,4
State,Arunachal Pradesh,0,0,11.15,0,NA,NA
State,Assam,47,0.1,272.47,0.2,21,18
State,Bihar,1579,4.7,851.71,1.9,10,7
State,Chhattisgarh,443,1.3,213.03,2.1,9,12
State,Goa,2,0,13.88,0.1,22,24
State,Gujarat,1370,4.1,517.89,2.6,8,8
State,Haryana,243,0.7,216.44,1.1,15,13
State,Himachal Pradesh,97,0.3,61.78,1.6,13,17
State,Jammu & Kashmir,13,0,104.4,0.1,23,22
State,Jharkhand,125,0.4,275.43,0.5,19,15
State,Karnataka,1787,5.3,536.81,3.3,6,6
State,Kerala,524,1.6,322.7,1.6,12,11
State,Madhya Pradesh,7217,21.5,620.72,11.6,1,2
State,Maharashtra,634,1.9,988.26,0.6,17,10
State,Manipur,0,0,24.43,0,NA,NA
State,Meghalaya,0,0,23.58,0,NA,NA
State,Mizoram,1,0,9.1,0.1,25,25
State,Nagaland,17,0.1,20.47,0.8,16,20
State,Orissa,1195,3.6,373.43,3.2,7,9
State,Punjab,131,0.4,247.71,0.5,18,14
State,Rajasthan,4535,13.5,581.25,7.8,2,3
State,Sikkim,1,0,5.53,0.2,20,26
State,Tamil Nadu,2097,6.3,629.43,3.3,5,5
State,Tripura,0,0,32.47,0,NA,NA
State,Uttar Pradesh,7927,23.7,1708.1,4.6,3,1
State,Uttaranchal,99,0.3,86.76,1.1,14,16
State,West Bengal,4,0,817.07,0,26,23
State,Total (States),33473,99.9,10335.15,3.2,NA,NA
Union Territory,A & N Islands,0,0,3.65,0,NA,NA
Union Territory,Chandigarh,0,0,9.32,0,NA,NA
Union Territory,D & N Haveli,0,0,2.28,0,NA,NA
Union Territory,Daman & Diu,0,0,1.64,0,NA,NA
Union Territory,Delhi,16,0,143.83,0.1,24,21
Union Territory,Lakshadweep,0,0,0.62,0,NA,NA
Union Territory,Puducherry,18,0.1,9.91,1.8,11,19
Union Territory,Total (UTs),34,0.1,171.25,0.2,NA,NA
Total (All-India),Total (All-India),33507,100,10506.4,3.2,NA,NA
