Category,States/ UTs,7-12 Years - Boys,7-12 Years - Girls,12-16 Years - Boys,12-16 Years - Girls,16-18 Years - Boys,16-18 Years - Girls,Overall Age Group - Boys,Overall Age Group - Girls,Total (Boys + Girls)
State,Andhra Pradesh,15,0,11,4,398,190,424,194,618
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0,0,0
State,Bihar,0,0,6,0,0,1,6,1,7
State,Chhattisgarh,0,0,64,1,85,0,149,1,150
State,Goa,0,0,1,0,0,0,1,0,1
State,Gujarat,10,0,182,27,582,185,774,212,986
State,Haryana,4,0,64,2,589,2,657,4,661
State,Himachal Pradesh,0,0,2,0,2,0,4,0,4
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0
State,Jharkhand,0,0,1,0,13,1,14,1,15
State,Karnataka,1,1,4,0,4,2,9,3,12
State,Kerala,4,0,22,0,0,1,26,1,27
State,Madhya Pradesh,93,0,1449,6,0,7,1542,13,1555
State,Maharashtra,16,3,137,7,749,6,902,16,918
State,Manipur,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,5,0,5,0,5
State,Mizoram,0,0,3,2,1,5,4,7,11
State,Nagaland,0,0,5,0,0,0,5,0,5
State,Orissa,0,0,0,0,4,1,4,1,5
State,Punjab,1,0,19,0,0,0,20,0,20
State,Rajasthan,1,0,41,5,122,3,164,8,172
State,Sikkim,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,2907,190,1931,31,386,5,5224,226,5450
State,Tripura,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,1,1,2,2,2,10,5,13,18
State,Uttaranchal,0,0,0,0,22,5,22,5,27
State,West Bengal,0,0,3,0,0,0,3,0,3
State,Total (States),3053,195,3947,87,2964,424,9964,706,10670
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,1,1,1,1,0,1,2,3,5
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,0,0,26,0,62,0,88,0,88
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),1,1,27,1,62,1,90,3,93
Total (All-India),Total (All-India),3054,196,3974,88,3026,425,10054,709,10763
