SL. No.,Crime Heads,Total number of persons under trials during the year including persons carried over from previous year,Number of persons against whom cases were compounded or withdrawn,Persons in whose cases trial were completed,Persons in custody or on bail at the end of the year,Number of Persons convicted during the year,Percentage of persons in custody pending trial to number of persons under trial,Percentage of persons convicted to total persons in whose cases trials were completed during the year
1,Murder,77255,358,28036,48861,10883,63.25,38.82
2,Culpable Homicide Not Amounting to Murder,10453,89,2999,7365,1292,70.46,43.08
3,Rape,7085,56,2109,4920,753,69.45,35.7
4,Kidnapping & Abduction,30373,446,8168,21759,2558,71.64,31.32
5,Dacoity,72036,409,17492,54135,5486,75.15,31.36
6,Robbery,36161,563,9073,26525,3655,73.35,40.28
7,Burglary,190034,6055,57340,126639,34141,61.38,59.54
8,Thefts,395758,23016,119467,253275,76913,64,64.38
9,Riots,882014,53662,170147,658205,54707,74.63,32.15
10,Criminal Breach of Trust,31702,1138,7765,22799,4436,71.92,57.13
11,Cheating,23617,1365,5275,16977,2784,71.88,52.78
12,Counterfeiting,699,34,126,539,59,77.11,46.83
13,Total Cognizable Crime,2580753,170686,657344,1752723,318938,67.92,48.52
