SL. No.,Crime Heads,Total number of persons in custody or on bail during the stage of investigation including persons under arrest carried over from prevoius year,Total number of persons in custody or on bail during the stage of investigation at the end of the year,Persons in whose cases chargesheets were laid during the year,Percentage of persons in custody or on bail during the stage of investigation pending at the end of the year to total persons in custody during the stage of investigation,Percentage of persons in whose cases chargesheets were laid to total persons under custody or on bail during the stage of investigation
1,Murder,46568,8174,34134,17.55,73.3
2,Culpable Homicide Not Amounting to Murder,5408,969,3955,17.92,73.13
3,Rape,3889,823,2613,21.16,67.19
4,Kidnapping & Abduction,15470,2890,9712,18.68,62.78
5,Dacoity,57442,15658,25106,27.26,43.71
6,Robbery,20004,2989,13213,14.94,66.05
7,Burglary,102430,10596,76544,10.34,74.73
8,Thefts,218441,20822,169567,9.53,77.62
9,Riots,434538,71241,307247,16.4,70.71
10,Criminal Breach of Trust,17959,5716,10611,31.83,59.08
11,Cheating,13482,3669,8254,27.21,61.22
12,Counterfeiting,691,218,303,31.55,43.85
13,Total Cognizable Crime,1388673,193596,1029470,13.94,74.13
