SL. No.,Heads of Crime,Percentage of Cases Compounded or withdrawn to Total Cases for trial During the Year,Percentage of Cases in which Trials were Completed to Total Cases Under Trial During the Year,Percentage of Cases Pending Trial at the End of the Year to Total Cases for Trial,Percentage of Cases Conviction to Cases in which Trials were Completed
1,Arms Act,0.7,35.1,64.2,74.1
2,Opium Act,0.2,54.4,45.4,79.4
3,Gambling Act,0.2,74.8,25,88.5
4,Excise Act,0.4,63.4,36.2,82.7
5,Customs Act,NA,33.3,66.7,50
6,Explosives & Explosive Substances Act,1.6,49.7,48.7,84.8
7,Prohibition Act,1,54.2,44.8,48.9
8,Suppression of Immoral Traffic Act,0.2,89.4,10.4,94.4
9,Motor Vehicles Act,1,66.5,32.8,92.1
10,Prevention of Corruption Act,0.9,57.3,41.8,73.7
11,Indian Railways Act,0.1,88.5,11.5,97.6
12,Other Offences,0.5,90.7,8.8,98
13,Total,0.7,75.9,23.4,91.5
