SL. No.,Crime Heads,Total number of persons in custody during the stage of investigation at the end of the Year,Total Number of Persons in custody or on bail during the stage of investigation at the end of the year,Persons in whose cases chargesheets were laid during the year,Percentage of persons in custody or on bail during the stage of investigation pending at the end of the year to total persons in custody during the stage of investigation,Percentage of persons in whose cases chargesheets were laid to total persons under custody during the stage of investigation
1,Arms Act,31024,3867,26335,12.46,84.89
2,Opium Act,14840,3699,10998,24.93,74.11
3,Gambling Act,305393,14700,290177,4.81,95.02
4,Excise Act,144719,18814,124303,13,85.89
5,Prohibition Act,358491,182697,167604,50.96,46.75
6,Explosives & Explosive Substances Act,3810,904,1955,23.73,51.31
7,Suppression of Immoral Traffic in Women & Girls Act,8690,258,8404,2.97,96.71
8,Motor Vehicles Act,766787,112969,648504,14.73,84.57
9,Prevention of Corruption Act,625,192,396,30.72,63.36
10,Customs Act,61,2,6,3.28,9.84
11,Indian Railways Act,26627,306,26119,1.15,98.09
12,Other Offences Under Local and Special Laws Act,1165219,15981,1142485,1.37,98.05
13,Grand Total,2826286,354389,2447286,12.54,86.59
