SL. No.,Heads of Crime,Incidence - 1962,Volume - 1962,Incidence - 1967,Volume - 1967,Incidence - 1968,Volume - 1968,Incidence - 1969,Volume - 1969,Incidence - 1970,Volume - 1970,Incidence - 1971,Volume - 1971,Quinquennial Average 1967-1971 (Q.A.),Incidence - 1972,Volume - 1972,"Percentage Variation (+) Increase, (-) Decrease - Over - 1962","Percentage Variation (+) Increase, (-) Decrease - Over - Quinquennial Average","Percentage Variation (+) Increase, (-) Decrease - Over - 1971"
1,Total Cognizable Crime,674466,148.9,881981,172.7,862016,164.7,845167,157.5,955422,173.7,952581,173.3,899433,984773,175.3,46,9.5,3.4
2,Murder,11586,2.6,13398,2.6,13841,2.6,14732,2.7,15708,2.9,16180,2.9,14772,15475,2.8,33.6,4.8,-4.4
3,Kidnapping and Abduction,7119,1.2,8192,1.6,8847,1.7,8464,1.6,10111,1.8,9647,1.8,9052,9482,1.7,33.2,4.8,-1.7
4,Dacoity,4890,1.1,6300,1.2,6357,1.2,6049,1.1,9837,1.8,11193,2,7947,10411,1.9,112.9,31,-7
5,Robbery,7551,1.7,10252,2,10194,1.9,9922,1.8,16958,3.1,18402,3.4,13146,17054,3,125.8,29.7,-7.3
6,Burglary,134324,29.6,173575,34,156248,29.8,145429,27.1,166339,30.2,165807,30.2,161480,167062,29.7,24.4,3.5,0.7
7,Thefts,252453,55.7,339861,66.5,315513,60.2,300140,56,337211,61.3,335204,61,325585,346382,61.7,37.2,6.4,3.3
8,Riots,29096,6.4,42447,8.3,45811,8.7,55796,10.4,68331,12.4,64114,11.7,55300,65781,11.7,126.1,19,2.6
9,Criminal Breach of Trust,18092,4,23950,4.7,22410,4.2,21118,3.9,22679,4.1,20270,3.7,22084,21004,3.7,16.1,-4.9,3.6
10,Cheating,9738,2.1,12701,2.5,12514,2.4,12001,2.2,12331,2.2,11412,2.1,12192,12646,2.2,29.9,3.7,10.8
11,Counterfeiting,423,0.1,1413,0.3,1425,0.3,739,0.1,650,0.2,641,0.1,974,670,0.1,58.4,-31.2,4.5
12,Other IPC Offences,199194,44,249892,48.8,268856,51.3,270777,50.5,295267,53.7,299711,54.4,276901,318806,56.7,60.1,15.1,6.4
