SL. No.,Crime Heads,Percentage of New Offenders Arrested to Total Arrested,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Once,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Twice,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Three times or more
1,Murder,95.37,3.66,0.56,0.41
2,Culpable Homicide Not Amounting to Murder,94.06,5.34,0.39,0.21
3,Rape,96.16,3.41,0.27,0.16
4,Kidnapping & Abduction,95.29,3.72,0.76,0.23
5,Dacoity,87.22,8.34,3.2,1.24
6,Robbery,89.66,6.8,2.6,0.94
7,Burglary,84.93,9.24,3.41,2.42
8,Thefts,83.98,10.33,3.37,2.32
9,Riots,97.3,2.44,0.2,0.06
10,Criminal Breach of Trust,92.97,6.28,0.54,0.21
11,Cheating,93.61,4.55,1.13,0.71
12,Counterfeiting,97.16,1.89,0.63,0.32
13,Total Cognizable Crime,92.16,5.59,1.45,0.8
