SL. No.,Heads of Crime,Percentage of Cases not Investigated or Mistake of Fact or Law or Non Cognizable to Total Cases for Investigation,Percentage of Cases in which Investigation was Completed to Total Cases for Investigation,Percentage of Cases Pending Investigation at the End of the Year to Total Cases for Investigation,Percentage of Cases Chargesheeted to Total Cases in which Investigation was Completed
1,Arms Act,1.2,83.5,15.4,97.2
2,Opium Act,2.5,74.6,25.1,98.4
3,Gambling Act,0,95.8,4.1,99.9
4,Excise Act,7.3,79.5,13.2,97.9
5,Prohibition Act,5.5,53.2,41.3,81.4
6,Explosives & Explosive Substances Act,3.1,64,33,61.9
7,Suppression of Immoral Traffic Act,0,97.9,2.1,99.9
8,Motor Vehicles Act,0.7,84.1,15.3,99.3
9,Prevention of Corruption Act,2.1,72.1,25.8,92
10,Customs Act,64.5,29,6.4,55.6
11,Indian Railways Act,0.1,96.6,2.3,97.1
12,Other Offences,0.4,98.1,1.5,97.6
13,Total,1.5,86.8,11.7,97.9
