SL. No.,Category,States/U.Ts/Cities,Year - 1971,Year - 1972,Percentage Variation during 1972 over 1971
1,State,Andhra Pradesh,62723,67218,7.16
2,State,Assam,46680,59211,26.84
3,State,Bihar,127360,119102,-6.49
4,State,Gujarat,44270,48748,10.11
5,State,Haryana,10493,11925,13.65
6,State,Himachal Pradesh,3619,4358,20.42
7,State,Jammu & Kashmir,10035,10241,2.05
8,State,Karnataka,49109,59590,21.34
9,State,Kerala,45779,60211,31.53
10,State,Madhya Pradesh,98545,107816,9.4
11,State,Maharashtra,105189,114805,9.14
12,State,Manipur,2907,3733,28.41
13,State,Meghalaya,NA,1137,NA
14,State,Nagaland,603,874,44.94
15,State,Orissa,38072,37347,-1.91
16,State,Punjab,18629,18988,1.93
17,State,Rajasthan,57542,59220,2.92
18,State,Tamil Nadu,69529,90246,29.8
19,State,Tripura,3505,4128,17.77
20,State,Uttar Pradesh,176601,185485,5.03
21,State,West Bengal,120938,142467,17.8
Total (States),State,Total (States),1092128,1206850,10.5
22,UT,A & N Islands,508,362,-28.75
23,UT,Chandigarh,990,862,-12.93
24,UT,D & N Haveli,75,160,-113.33
25,UT,Delhi,34063,14497,-57.44
26,UT,"Goa, Daman & Diu",1195,1680,40.59
27,UT,Lakshadweep,12,10,-16.67
28,UT,Pondicherry,1886,2015,6.84
Total (UTs),UT,Total (UTs),38729,19586,-49.43
Total (All-India),Total (All-India),Total (All-India),1130857,1226436,8.45
1,City,Ahmedabad,3035,2006,-33.9
2,City,Bangalore,5370,3878,-27.78
3,City,Bombay,21032,21053,0.1
4,City,Calcutta,18002,13884,-22.88
5,City,Delhi,32709,12913,-60.52
6,City,Hyderabad,2469,3071,24.38
7,City,Kanpur,3619,4973,37.41
8,City,Madras,9171,8165,-10.97
Total (Cities),City,Total (Cities),95407,69943,-26.69
