SL. No.,Heads of Crime,Total Number of Cases for Trial During the Year Including Cases Carried over from Previous Year,Number of Cases Compounded or Withdrawn During the Year,Number of Cases in which Trials Were Completed During the Year,Number of Cases Ended in Conviction During the Year,Number of Cases Pending Trial at the End of the Year
1,Murder,24749,229,9646,4544,14874
2,Culpable Homicide Not Amounting to Murder,3989,41,1222,601,2726
3,Rape,4379,46,1349,552,2984
4,Kidnapping & Abduction,12475,233,3194,1128,9048
5,Dacoity,13550,75,3169,1213,10306
6,Robbery,17122,231,4231,1906,12660
7,Burglary,108797,3048,37097,25535,68652
8,Thefts,231333,12554,82682,61676,136097
9,Riots,110324,6174,19523,5705,84627
10,Criminal Breach of Trust,25833,926,6364,3936,18543
11,Cheating,15779,937,3715,2184,11127
12,Counterfeiting,326,13,61,31,252
13,Other IPC Offences,443043,40742,140491,87078,261810
14,Total Cognizable Crime Under IPC,1011699,65249,312744,196089,633706
