SL. No.,Heads of Crime,Total Number of Cases for Investigation During the Year Including Cases Carried over from Previous Year,Number of Cases in which Investigation was Refused or Declared False or Mistake of Facts or Law or Found Non Cognizable,Number of Cases Investigated during the Year,Number of Cases Pending Investigation at the End of the Year,Number of Cases in which Chargesheets were Laid
1,Arms Act,31305,364,26127,4814,25383
2,Opium Act,14642,37,10924,3681,10749
3,Gambling Act,181876,50,174290,7536,174076
4,Excise Act,152612,11185,121308,20119,118853
5,Prohibition Act,347073,19240,184590,143243,150265
6,Explosives & Explosive Substances Act,3601,110,2303,1188,1425
7,Suppression of Immoral Traffic Act,8474,1,8295,178,8286
8,Motor Vehicles Act,771895,5235,648824,117836,644053
9,Prevention of Corruption Act,904,19,652,233,600
10,Customs Act,31,20,9,2,5
11,Indian Railways Act,24583,254,23758,571,23072
12,Other Offences,1179044,4101,1157024,17919,1150967
13,Total,2716040,40616,2358104,317320,2307734
