SL. No.,Heads of Crime,Percentage of Cases Compounded or withdrawn to Total Cases for Trial,Percentage of Cases in which Trials were Completed to Total Cases for Trial,Percentage of Cases Pending Trial at the End of the Year to Total Cases for Trial,Percentage of Cases Ended in Conviction to Total Cases for which Trials were Completed
1,Murder,0.9,39,60.1,47.1
2,Culpable Homicide Not Amounting to Murder,1,30.6,68.3,49.2
3,Rape,1,30.8,68.1,40.9
4,Kidnapping & Abduction,1.9,25.6,72.5,35.3
5,Dacoity,0.6,23.4,76.1,38.3
6,Robbery,1.3,24.7,73.9,45
7,Burglary,2.8,34.1,63.1,68.8
8,Thefts,5.4,35.7,58.8,74.6
9,Riots,5.6,17.7,76.7,29.2
10,Criminal Breach of Trust,3.6,24.6,71.8,61.8
11,Cheating,5.9,23.5,70.5,58.8
12,Counterfeiting,4,18.7,77.3,50.8
13,Other IPC Offences,9.2,31.7,59.1,62
14,Total Cognizable Crime under IPC,6.4,30.9,62.6,62.7
