SL. No.,Heads of Crime,Total Number of Cases for Investigation During the Year Including Cases Carried Over from Previous Year,Number of Cases in which Investigation was Refused or Declared False or Mistake of Fact or Law or Found Non Cognizable,Number of Cases Investigated during the Year,Number of Cases Pending Investigation at the End of the Year,Number of Cases in which Chargesheets were Laid
1,Murder,21635,744,15045,5846,11299
2,Culpable Homicide Not Amounting to Murder,3035,213,1992,830,1460
3,Rape,3454,320,2136,998,1656
4,Kidnapping & Abduction,13139,2684,6807,3648,4196
5,Dacoity,16431,1531,8462,6438,4884
6,Robbery,20890,4332,12341,4217,6268
7,Burglary,191997,11445,153221,27331,46857
8,Thefts,391356,37017,300899,53440,109515
9,Riots,87842,16434,48299,23109,36303
10,Criminal Breach of Trust,33467,6064,13351,14052,8556
11,Cheating,18721,2323,9610,6788,5606
12,Counterfeiting,1265,137,598,530,133
13,Other IPC Offences,367883,46015,262479,59389,212465
14,Total Cognizable Crimes,1171115,129259,835240,206616,449198
