SL. No.,Heads of Crime,"Percentage of Cases not Investigated, Mistake of Fact or Law, Non Cognizable to Total Cases for Investigation",Percentage of Cases in which Investigation was Completed to Total Cases for Investigation,Percentage of Cases Pending Investigation at the End of the Year to Total Cases for Investigation,Percentage of Cases Chargesheeted to Total Cases in which Investigation was Completed
1,Murder,3.4,69.5,27,75.1
2,Culpable Homicide Not Amounting to Murder,7,65.6,27.3,73.3
3,Rape,9.3,61.8,28.9,77.5
4,Kidnapping & Abduction,20.4,51.8,27.8,61.6
5,Dacoity,9.3,51.5,39.2,57.5
6,Robbery,20.7,59.1,20.2,50.8
7,Burglary,6,79.8,14.2,30.6
8,Thefts,9.4,76.9,13.6,36.4
9,Riots,18.7,55,26.3,75.2
10,Criminal Breach of Trust,18.1,39.9,42,64.1
11,Cheating,12.4,51.3,36.2,58.3
12,Counterfeiting,10.8,47.3,41.9,22.2
13,Other IPC Offences,12.5,71.3,16.1,80.9
14,Total Cognizable Crime Under IPC,11,71.3,17.6,53.8
