SL. No.,Category,States/UTs/Cities,Murder - Cases Reported,Murder - Volume per one lakh of population,Culpable Homicide Not Amounting to Murder - Cases Reported,Culpable Homicide Not Amounting to Murder - Volume per one lakh of population,Rape - Cases Reported,Rape - Volume per one lakh of population,Kidnapping & Abduction - Cases Reported,Kidnapping & Abduction - Volume per one lakh of population,Dacoity - Cases Reported,Dacoity - Volume per one lakh of population,Robbery - Cases Reported,Robbery - Volume per one lakh of population,Burglary - Cases Reported,Burglary - Volume per one lakh of population,Thefts - Cases Reported,Thefts - Volume per one lakh of population,Riots - Cases Reported,Riots - Volume per one lakh of population,Criminal Breach of Trust - Cases Reported,Criminal Breach of Trust - Volume per one lakh of population,Cheating - Cases Reported,Cheating - Volume per one lakh of population,Counterfeiting - Cases Reported,Counterfeiting - Volume per one lakh of population,Total Cognizable Crimes - Cases Reported,Total Cognizable Crimes - Volume per one lakh of population
1,State,Andhra Pradesh,1031,2.31,15,0.03,59,0.13,147,0.33,165,0.37,225,0.5,5746,12.89,13671,30.67,3054,6.85,678,1.52,401,0.9,13,0.03,49914,111.99
2,State,Assam,488,3.21,45,0.3,117,0.77,451,2.96,229,1.5,254,1.67,5038,33.16,7947,52.31,4390,28.89,431,2.83,276,1.81,9,0.05,30320,199.57
3,State,Bihar,1401,2.43,236,0.4,240,0.41,580,1.01,2142,3.71,1447,2.51,19082,33.1,25539,44.29,10053,17.43,1321,2.3,526,0.91,52,0.1,82744,143.53
4,State,Gujarat,705,2.56,6,0.02,57,0.21,242,0.88,77,0.28,442,1.6,4056,14.73,11464,41.62,624,2.27,905,3.29,515,1.87,44,0.16,36157,131.27
5,State,Haryana,175,1.7,90,0.87,59,0.57,129,1.25,9,0.09,15,0.15,1616,15.66,2808,27.22,93,0.9,281,2.72,149,1.44,2,0.02,9104,88.24
6,State,Himachal Pradesh,46,1.31,15,0.43,17,0.48,58,1.65,2,0.06,27,0.77,451,12.86,587,16.74,115,3.28,118,3.37,88,2.51,NA,NA,3073,87.65
7,State,Jammu & Kashmir,74,1.56,6,0.13,26,0.55,195,4.12,9,0.19,11,0.23,880,18.58,1086,22.94,586,12.38,74,1.56,50,1.06,2,0.04,6021,127.16
8,State,Karnataka,684,2.3,6,0.02,36,0.12,119,0.4,106,0.35,144,0.48,6660,22.17,11196,37.3,2576,8.57,680,2.26,714,2.38,50,0.17,37786,125.78
9,State,Kerala,448,2.04,6,0.02,38,0.17,87,0.4,34,0.15,157,0.71,4313,19.63,4832,22,5107,23.24,371,1.69,246,1.12,93,0.42,35442,161.3
10,State,Madhya Pradesh,1686,3.92,26,0.06,443,1.03,147,1.72,387,0.9,1152,2.68,18180,42.32,34010,79.17,2474,5.76,989,2.3,1212,2.82,23,0.05,95556,222.44
11,State,Maharashtra,1358,2.62,33,0.06,238,0.46,556,1.07,446,0.86,1941,3.75,15450,29.82,46448,89.64,2099,4.05,3262,6.3,1828,3.53,108,0.21,104782,202.22
12,State,Manipur,20,1.81,2,0.18,8,0.73,164,14.88,22,2,20,1.81,180,16.33,415,37.66,176,15.97,56,5.08,94,8.53,NA,NA,1920,174.23
13,State,Meghalaya,52,5.01,NA,NA,4,0.39,22,2.12,5,0.48,13,1.25,117,11.27,342,32.95,33,3.18,13,1.25,11,1.06,1,0.1,1105,106.45
14,State,Nagaland,26,5.03,12,2.32,10,1.94,13,2.52,17,3.29,44,8.52,130,25.17,505,97.78,31,6,57,11.03,54,10.46,NA,NA,1117,174.07
15,State,Orissa,442,2,55,0.24,52,0.23,73,0.32,113,0.5,313,1.39,6517,28.94,13297,59.04,1746,7.75,602,2.67,365,1.62,8,0.04,31983,142.01
16,State,Punjab,597,4.3,161,1.16,85,0.61,288,2.07,4,0.03,34,0.24,1590,11.46,2700,19.46,52,0.37,433,3.12,243,1.75,6,0.04,12111,87.29
17,State,Rajasthan,590,2.22,46,0.17,153,0.57,1221,4.6,160,0.6,973,3.67,6878,25.92,9678,36.47,4627,17.43,707,2.66,738,2.78,8,0.03,39204,147.77
