SL. No.,Category,State/U.Ts./Cities,1967,1968,1969,1970,1971,Quinquennial Average of 1967 to 1971 (Q.A.),1972,"Percentage Variation (+) Increase, (-) Decrease - Over - Quinquennial Average","Percentage Variation (+) Increase, (-) Decrease - Over - 1971",Volume of Crime Per One Lakh of Population
1,State,Andhra Pradesh,38303,39778,40153,43942,46390,41713,49914,19.7,7.6,111.99
2,State,Assam,22273,24462,24925,25908,28199,25153,30320,20.5,7.5,199.57
3,State,Bihar,86120,79899,75333,84091,83270,81743,82744,1.2,-0.6,143.53
4,State,Gujarat,32604,32088,33129,32225,32747,32558,36157,11.1,1.04,131.27
5,State,Haryana,8270,9108,8858,8902,8237,8675,9104,4.9,10.5,88.24
6,State,Himachal Pradesh,2542,2305,2278,2381,2494,2401,3073,28,23.2,87.65
7,State,Jammu & Kashmir,6142,5992,6131,6421,5518,6041,6021,-0.3,9.1,127.16
8,State,Karnataka,32525,35441,35566,35566,36557,35131,37786,7.6,3.4,125.78
9,State,Kerala,22210,27411,28492,31617,29712,27888,35442,27.1,19.3,161.3
10,State,Madhya Pradesh,102849,93488,86946,83537,88548,91074,95556,4.9,7.9,222.44
11,State,Maharashtra,98338,99105,92135,96552,99125,97051,104782,8,5.7,202.22
12,State,Manipur,2342,2396,2351,2122,1931,2228,1920,-13.8,-0.6,174.23
13,State,Meghalaya,NA,NA,NA,NA,NA,NA,1105,NA,NA,106.45
14,State,Nagaland,514,682,685,744,1004,726,1117,53.9,11.3,174.07
15,State,Orissa,30709,33537,31395,31514,30502,31531,31983,1.4,4.9,142.01
16,State,Punjab,13467,13003,12926,12478,11433,12661,12111,-4.3,5.9,87.29
17,State,Rajasthan,34497,37001,34995,36230,36743,35893,39204,9.2,6.7,147.71
18,State,Tamil Nadu,68164,70487,69114,63619,59616,66200,71050,7.3,19.2,168.3
19,State,Tripura,2743,3419,3439,2704,1785,2818,2383,-15.4,33.5,149.1
20,State,Uttar Pradesh,170698,154666,150712,233754,236328,189232,217731,15.1,-7.9,241.34
21,State,West Bengal,84449,76193,82662,84528,78546,81276,77855,-4.2,-0.9,170.88
Total (States),State,Total (States),859759,840461,822225,918835,918685,871993,947358,8.6,3.1,170.52
22,UT,A & N Islands,340,309,338,308,370,333,322,-3.3,-13,272.88
23,UT,Chandigarh,1538,1390,1510,1484,1251,1435,1156,-19.4,-7.6,439.54
24,UT,D & N Haveli,66,73,106,106,84,87,101,16.1,20.2,132.89
25,UT,Delhi,17423,16937,17606,31241,29236,22488,32589,44.9,11.5,755.6
26,UT,Goa,1841,1320,1336,1195,1219,1382,1321,-4.4,8.4,154.14
27,UT,Lakshadweep,21,48,38,28,19,31,18,-41.9,-5.3,54.5
28,UT,Pondicherry,993,1478,2008,2225,1717,1684,1908,13.3,11.1,404.4
Total (UTs),UT,Total (UTs),22222,21555,22942,36587,33896,27440,37415,36.4,10.4,606.69
Total (All-India),Total (All-India),Total (All-India),881981,862016,845167,955422,952581,899433,984773,9.5,3.4,175.33
1,City,Ahmedabad,2865,2832,3578,3269,3060,3121,3212,2.9,5,192.8
2,City,Bangalore,5945,7266,8051,7778,8961,7600,7555,-0.6,-15.7,417.6
3,City,Bombay,28891,27569,25289,25763,25066,26516,25970,-2.1,3.6,410.98
4,City,Calcutta,13185,11864,10801,10588,10911,11470,9793,-14.6,-10.3,307.86
5,City,Delhi,16358,15763,16254,28890,26933,20839,30054,44.2,11.6,768.25
6,City,Hyderabad,2795,3072,3593,3470,3794,3345,4089,22.2,7.8,240.39
7,City,Kanpur,7093,6638,6703,8656,9659,7749,10104,30.4,4.6,840.59
8,City,Madras,11746,11297,11707,10794,7205,10550,13015,23.4,80.6,498.66
Total (Cities),City,Total (Cities),88878,86301,85976,99208,95589,91190,103792,13.8,8.6,467.44
