SL. No.,Heads of Crime,Incidence - 1974,Volume - 1974,Incidence - 1979,Volume - 1979,Incidence - 1980,Volume - 1980,Incidence - 1981,Volume - 1981,Incidence - 1982,Volume - 1982,Incidence - 1983,Volume - 1983,Quinquennial Average 1979-1983 (Q.A.),Incidence - 1984,Volume - 1984,"Percentage Change in 1984 (+) Increase, (-) Decrease - Over - 1974","Percentage Change in 1984 (+) Increase, (-) Decrease - Over - Quinquennial Average","Percentage Change in 1984 (+) Increase, (-) Decrease - Over - 1983"
1,Murder,18649,3.2,20349,3.1,22149,3.3,22727,3.3,23339,3.3,25112,3.5,22735,25786,3.5,38.3,13.4,2.7
2,Culpable Homicide Not Amounting to Murder,2514,0.4,3008,0.5,3032,0.5,3272,0.5,3427,0.5,3793,0.5,3306,4093,0.6,62.8,23.8,7.9
3,Rape,2962,0.5,4300,0.7,5023,0.8,5409,0.8,5427,0.8,6019,0.8,5236,6740,0.9,127.5,28.7,12
4,Kidnapping & Abduction,10543,1.8,13125,2,13595,2,13833,2,13341,1.9,13842,1.9,13547,15141,2.1,43.6,11.8,9.4
5,Dacoity,13697,2.3,14028,2.2,15194,2.3,14626,2.1,12700,1.8,12382,1.7,13786,12301,1.7,-10.2,-10.8,-0.7
6,Robbery,22286,3.8,22860,3.5,23493,3.5,22996,3.3,21938,3.1,21310,3,22519,23204,3.2,4.1,3,8.9
7,Burglary,199878,34.1,168574,25.9,166695,25.1,157540,22.8,142726,20.2,139103,19.3,154928,136272,18.5,-31.8,-12,-2
8,Theft,436918,74.5,430483,66.1,431036,65,422059,61.2,375240,53.2,353536,49.1,402471,330669,45,-24.3,-17.8,-6.5
9,Riots,80547,13.7,98896,15.2,106957,16.1,110361,16,106511,15.1,108101,15,106165,101460,13.8,26,-4.4,-6.1
10,Criminal Breach of Trust,22274,3.8,22016,3.4,20684,3.1,20579,3,18259,2.6,18514,2.6,20010,18428,2.5,-17.3,-7.9,-0.5
11,Cheating,15380,2.6,18370,2.8,17416,2.6,17767,2.6,17471,2.5,19767,2.7,18158,19077,2.6,24,5.1,-3.5
12,Counterfeiting,718,0.1,525,0.1,830,0.1,1004,0.1,939,0.1,809,0.1,821,1118,0.2,55.7,36.2,38.2
13,Other IPC Offences,365911,62.4,519634,79.8,542425,81.7,573584,83.1,612586,86.9,627578,87.1,575161,664371,90.3,81.6,15.5,5.9
14,Total Cognizable Crime,1192277,202.7,1336168,205.2,1368529,206.2,1385757,200.8,1353904,192,1349866,187.4,1358845,1358660,184.7,14,0,0.7
