SL. No.,Year,Population in Millions (Estimated mid-year),Total cognizable crime cases under IPC,Total juvenile crime cases under IPC,Percentage of juvenile crime to total cognizable crime,Volume of juvenile crime per lakh of population
1,1974,586.1,1192277,40666,3.4,6.9
2,1975,600.8,1160520,39888,3.4,6.6
3,1976,613.3,1093897,37015,3.4,6
4,1977,625.8,1267004,44008,3.5,7
5,1978,638.4,1344968,44284,3.3,6.9
6,1979,651,1336168,46351,3.5,7.1
7,1980,663.6,1368529,55129,4,8.3
8,1981,690.1,1385757,61019,4.4,8.8
9,1982,705.2,1353904,59345,4.4,8.4
10,1983,720.4,1349866,55473,4.1,7.7
11,1984,735.6,1358660,42803,3.2,5.8
