SL. No.,Crime Head,Total number of persons in custody or on bail during the stage of investigation including persons under arrest carried over from previous year,Persons released or freed by police or magistrate before trial for want of evidence or any other reason,Persons in whose cases chargesheets were laid during the year,Persons in custody or on bail during the stage of investigation at the end of the year,Percentage of persons in whose cases chargesheets were laid to total persons under custody or on bail during the stage of investigation,Percentage of persons in custody or on bail during the stage of investigation pending at the end of the year to total persons in custody or on bail during the stage of investigation
1,Arms Act,69582,889,59432,9261,85.4,13.3
2,Opium Act,21133,126,15265,5742,72.2,27.2
3,Gambling Act,336891,1263,319010,16618,74.7,4.9
4,Excise Act,136745,2318,112137,22290,82,16.3
5,Prohibition Act,797586,92229,311728,393629,39.1,49.4
6,Explosive & Explosive Substances Act,5815,692,2627,2496,45.2,42.9
7,Suppression of Immoral Traffic Act,15911,14,15369,528,96.6,3.3
8,Motor Vehicles Act,1144691,1924,1114412,28355,97.4,2.5
9,Prevention of Corruption Act,752,27,354,371,47.1,49.3
10,Customs Act,115,37,67,11,58.3,9.6
11,Indian Railways Act,35936,133,35406,397,98.5,1.1
12,Other Offences Under Local and Special Laws,1250163,33380,1190033,26750,95.2,2.1
13,Total Cognizable Crimes Under Local and Special Laws,3815320,133032,3175840,506448,83.2,13.3
