SL. No.,Category,State/UTs/Cities,Arms Act - Incidence (I),Arms Act - Volume (V),Opium Act - Incidence (I),Opium Act - Volume (V),Gambling Act - Incidence (I),Gambling Act - Volume (V),Excise Act - Incidence (I),Excise Act - Volume (V),Prohibition Act - Incidence (I),Prohibition Act - Volume (V),Explosives and Explosive Substances Act - Incidence (I),Explosives and Explosive Substances Act - Volume (V),Suppression of Immoral Traffic Act - Incidence (I),Suppression of Immoral Traffic Act - Volume (V),Motor Vehicle Act - Incidence (I),Motor Vehicle Act - Volume (V),Prevention of Corruption Act - Incidence (I),Prevention of Corruption Act - Volume (V),Customs Act - Incidence (I),Customs Act - Volume (V),Indian Railways Act - Incidence (I),Indian Railways Act - Volume (V),Other offences Local and Special Laws - Incidence (I),Other offences Local and Special Laws - Volume (V),Total of Local and Special Laws - Incidence (I),Total of Local and Special Laws - Volume (V)
1,State,Andhra Pradesh,191,0.3,2,0,30685,53.8,4062,7.1,1,0,229,0.4,1791,3.1,222090,389,2,0,NA,0,33,0.1,122663,214.9,381749,668.7
2,State,Assam,352,1.6,17,0.1,290,1.3,965,4.5,60,0.3,80,0.4,5,0,308,1.4,1,0,NA,0,49,0.2,962,4.5,3089,14.3
3,State,Bihar,1818,2.4,1,0,280,0.4,958,1.3,3,0,565,0.8,21,0,889,1.2,5,0,NA,0,233,0.3,1818,2.4,6591,8.8
4,State,Gujarat,439,1.2,NA,0,20473,56,NA,0,137810,377.3,69,0.2,13,0,140,0.4,NA,0,NA,0,403,1.1,33540,91.8,192887,528
5,State,Haryana,1871,13.2,2856,20.1,2260,15.9,11156,78.7,NA,0,29,0.2,11,0.1,NA,0,16,0.1,NA,0,196,1.4,572,4,18967,133.7
6,State,Himachal Pradesh,57,1.2,37,0.8,18,0.4,3561,78,NA,0,10,0.2,1,0,NA,0,1,0,NA,0,6,0.1,340,7.4,4031,88.3
7,State,Jammu & Kashmir,120,1.9,2,0,85,1.3,18,0.3,NA,0,67,1,2,0,NA,0,NA,0,NA,0,1,0,695,10.8,990,15.4
8,State,Karnataka,353,0.9,15,0,4938,12.4,1961,4.9,NA,0,49,0.1,2301,5.8,458674,1148.1,NA,0,NA,0,49,0.1,23899,59.8,492239,1232.1
9,State,Kerala,81,0.3,NA,0,668,2.5,NA,0,18,0.1,66,0.2,63,0.2,65,0.2,NA,0,2,0,47,0.2,4584,17,5594,20.7
10,State,Madhya Pradesh,3849,6.9,253,0.5,14319,25.5,12884,23,NA,0,166,0.3,4,0,124230,221.3,71,0.1,1,0,18120,32.3,63408,113,237305,422.7
11,State,Maharashtra,922,1.4,4,0,44326,65.7,NA,0,145517,215.6,76,0.1,1140,1.7,22404,33.2,448,0.7,NA,0,11262,16.7,203743,301.9,429842,637
12,State,Manipur,26,1.7,1,0.1,96,6.2,838,54.2,NA,0,4,0.3,4,0.3,223,14.4,NA,0,NA,0,NA,0,131,8.5,1323,85.5
13,State,Meghalaya,36,2.5,NA,0,126,8.6,31,2.1,NA,0,7,0.5,NA,0,NA,0,NA,0,NA,0,NA,0,107,7.3,307,20.9
14,State,Nagaland,13,1.5,NA,0,1,0.1,116,13,NA,0,4,0.4,NA,0,80,9,NA,0,NA,0,10,1.1,182,20.5,406,45.7
