SL. No. (Col. 1),Heads of Crime (Col. 2),Total Number of Cases for Investigation During the Year Including Cases Carried Over from Previous Year (Col. 3),Number of Cases in which Investigation was Refused or Declared False or Mistake of Facts or Law or Found Non Cognizable (Col. 4),Number of Cases Other than Shown in Column 4 in which Investigation was Completed (Col. 5),Number of Cases in which Chargesheets were Laid (Col. 6),Number of Cases which Could not be Sent for Trial for Want of Evidence (Col. 7),Number of Cases Pending Investigation at the End of the Year (Col. 8)
1,Murder,36179,824,23796,18594,5202,11559
2,Culpable Homicide Not Amounting to Murder,5516,186,3669,2656,1013,1661
3,Rape,8833,671,5860,5017,843,2302
4,Kidnapping and Abduction,20301,3872,10631,7056,3575,5798
5,Dacoity,19453,1236,10766,6458,4308,7451
6,Robbery,29213,4300,18190,10551,7639,6723
7,Burglary,162878,8666,125996,50152,75844,28216
8,Theft,408462,26136,303346,123847,179499,78980
9,Riots,136525,17061,85442,69653,15789,34022
10,Criminal Breach of Trust,32295,3884,14840,9876,4964,13571
11,Cheating,31086,3553,14858,9639,5219,12675
12,Counterfeiting,1945,318,854,267,587,773
13,Other IPC Offences,770037,58104,599552,512990,86562,112381
14,Total Cognizable Crimes Under IPC,1662723,128811,1217800,826756,391044,316112
