SL. No.,Category,States/UTs/Cities,1983,1984,Percentage Variation in 1984 Over 1983
1,State,Andhra Pradesh,122802,128913,5
2,State,Assam,59650,53738,-9.9
3,State,Bihar,226924,213556,-5.9
4,State,Gujarat,114244,119648,4.7
5,State,Haryana,26990,28897,7.1
6,State,Himachal Pradesh,6720,7726,15
7,State,Jammu & Kashmir,24584,22418,-8.8
8,State,Karnataka,117441,127941,8.9
9,State,Kerala,77889,81976,5.2
10,State,Madhya Pradesh,237676,227026,-4.5
11,State,Maharashtra,218164,246948,13.2
12,State,Manipur,2964,2956,-0.3
13,State,Meghalaya,1789,1970,10.1
14,State,Nagaland,1999,1929,-3.5
15,State,Orissa,77036,77130,0.1
16,State,Punjab,24890,23441,-5.8
17,State,Rajasthan,119770,116431,-2.8
18,State,Sikkim,283,246,-13.1
19,State,Tamil Nadu,170401,161717,-5.1
20,State,Tripura,8349,5658,-32.2
21,State,Uttar Pradesh,256775,257069,0.1
22,State,West Bengal,137151,135072,-1.5
Total (States),State,Total (States),2034491,2042406,0.4
23,UT,A & N Islands,797,818,2.6
24,UT,Arunachal Pradesh,1187,878,-26
25,UT,Chandigarh,3773,5307,40.7
26,UT,D & N Haveli,228,302,32.5
27,UT,Delhi,28558,20169,-29.4
28,UT,"Goa, Daman & Diu",3812,4020,5.5
29,UT,Lakshadweep,15,18,20
30,UT,Mizoram,1912,2479,29.7
31,UT,Pondicherry,2577,3142,21.9
Total (UTs),UT,Total (UTs),42859,37133,-13.4
All India,All India,All India,2077350,2079539,0.1
1,City,Ahmedabad,13592,11938,-12.2
2,City,Bangalore,8191,11900,45.3
3,City,Bombay,24049,26417,9.8
4,City,Calcutta,22682,21936,-3.3
5,City,Delhi,26915,18919,-29.7
6,City,Hyderabad,4029,6425,59.5
7,City,Jaipur,4873,4866,-0.1
8,City,Kanpur,2442,NA,NA
9,City,Lucknow,NA,3281,NA
10,City,Madras,12211,10663,-12.7
11,City,Nagpur,6190,7143,15.4
12,City,Pune,11107,12728,14.6
Total (Cities),City,Total (Cities),136281,136216,Neg.
